Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,76.81,77.58,76.28,77.06,3943500,77.06
2013-11-13,76.24,77.57,75.56,77.41,3826800,77.41
2013-11-12,75.44,76.60,75.31,76.30,4196900,76.30
2013-11-11,75.15,75.71,75.00,75.49,1778200,75.49
2013-11-08,75.39,75.99,75.02,75.24,2909400,75.24
2013-11-07,74.37,76.28,74.37,75.55,4435800,75.55
2013-11-06,73.44,75.23,73.43,75.04,4246100,75.04
2013-11-05,72.79,73.75,72.33,73.36,2834800,73.36
2013-11-04,73.10,73.23,72.54,72.71,2942700,72.71
2013-11-01,73.89,74.16,72.92,73.00,3300700,73.00
2013-10-31,74.24,74.37,73.50,73.50,2773600,73.50
2013-10-30,74.78,75.26,74.21,74.25,2835000,74.25
2013-10-29,74.45,74.95,74.30,74.91,2780700,74.91
2013-10-28,73.60,74.44,73.44,74.32,2893600,74.32
2013-10-25,73.50,73.76,73.30,73.61,2564900,73.61
2013-10-24,73.74,73.97,73.35,73.50,3761200,73.50
2013-10-23,73.65,73.91,73.27,73.78,2711500,73.78
2013-10-22,73.62,74.16,73.27,73.95,2990800,73.95
2013-10-21,73.03,73.60,72.85,73.53,3067200,73.53
2013-10-18,72.95,73.11,72.31,72.88,4100600,72.88
2013-10-17,71.81,72.91,71.56,72.85,2998300,72.85
2013-10-16,72.01,72.67,71.83,72.43,2441000,72.43
2013-10-15,72.26,72.52,71.56,71.60,2267800,71.60
2013-10-14,72.17,72.83,71.95,72.66,1734000,72.66
2013-10-11,71.56,72.75,71.35,72.71,2747800,72.71
2013-10-10,70.99,71.44,70.81,71.26,3247200,71.26
2013-10-09,70.58,70.75,69.78,70.28,5006100,70.28
2013-10-08,72.51,72.92,70.73,71.09,5089300,70.16
2013-10-07,72.51,73.47,72.31,72.35,2966300,71.40
2013-10-04,73.33,73.82,72.99,73.26,2241300,72.30
2013-10-03,73.37,73.60,73.01,73.14,2760900,72.18
2013-10-02,73.38,73.70,73.01,73.51,2512100,72.55
