Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,63.89,65.12,63.80,64.99,2695400,64.99
2013-11-13,62.81,63.89,62.81,63.88,3535800,63.88
2013-11-12,63.33,63.56,62.82,63.07,2013600,63.07
2013-11-11,63.33,63.98,63.27,63.65,1542600,63.65
2013-11-08,62.57,63.41,62.50,63.35,1869500,63.35
2013-11-07,63.68,64.00,62.52,62.56,2755800,62.56
2013-11-06,62.88,63.78,62.34,63.24,2518700,63.24
2013-11-05,63.12,63.36,62.61,62.67,4652100,62.67
2013-11-04,62.65,63.86,62.57,63.59,2799400,63.59
2013-11-01,62.71,62.96,62.15,62.61,2475700,62.61
2013-10-31,62.13,63.07,61.97,62.70,3645100,62.70
2013-10-30,61.17,62.95,61.17,62.12,4453700,62.12
2013-10-29,61.58,61.70,60.32,60.75,7963100,60.75
2013-10-28,62.01,62.10,61.54,61.78,4438800,61.78
2013-10-25,61.82,61.93,61.54,61.82,1953000,61.82
2013-10-24,62.33,62.80,61.39,61.70,3407600,61.70
2013-10-23,63.52,63.66,62.15,62.35,3653400,62.35
2013-10-22,63.52,63.95,63.29,63.79,3514500,63.79
2013-10-21,63.71,63.93,63.12,63.19,2921500,63.19
2013-10-18,64.22,64.36,61.66,63.43,6354000,63.43
2013-10-17,64.64,64.64,63.90,64.18,5263100,64.18
2013-10-16,65.11,65.87,64.78,65.65,2119300,65.65
2013-10-15,65.46,65.63,64.59,64.86,1697200,64.86
2013-10-14,65.18,65.66,64.74,65.51,1654800,65.51
2013-10-11,65.90,65.90,65.17,65.50,2421700,65.50
2013-10-10,64.40,66.02,64.36,65.71,3568300,65.71
2013-10-09,64.26,64.57,63.78,63.86,2413600,63.86
2013-10-08,65.14,65.14,64.27,64.28,1627400,64.28
2013-10-07,65.88,66.12,65.28,65.35,2086900,65.15
2013-10-04,64.33,66.50,64.24,66.44,4246600,66.24
2013-10-03,64.73,64.89,64.02,64.23,2140700,64.03
2013-10-02,64.72,65.00,64.28,64.76,1850900,64.56
2013-10-01,64.20,65.21,64.04,64.90,2051900,64.70
2013-09-30,63.90,64.41,63.52,64.02,1860200,63.82
2013-09-27,64.68,64.78,63.96,64.48,1625000,64.28
2013-09-26,64.76,65.60,64.50,64.78,1155400,64.58
2013-09-25,64.94,65.08,64.50,64.92,2401300,64.72
