Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,46.41,46.85,46.01,46.17,1326200,46.17
2013-11-13,45.03,46.66,44.86,46.53,2323200,46.53
2013-11-12,45.09,45.31,44.94,45.11,1236100,45.11
2013-11-11,45.11,45.34,44.78,45.24,1365200,45.24
2013-11-08,44.57,45.27,44.55,45.27,2033200,45.27
2013-11-07,45.36,45.42,44.40,44.48,1905300,44.48
2013-11-06,45.31,45.48,44.84,45.16,1214100,45.16
2013-11-05,45.34,45.66,44.79,45.21,1967700,45.21
2013-11-04,45.13,45.90,45.07,45.67,1860100,45.67
2013-11-01,45.01,45.41,44.77,45.07,2495800,45.07
2013-10-31,45.54,46.07,44.70,44.76,3521600,44.76
2013-10-30,46.53,46.79,45.45,45.55,2890200,45.55
2013-10-29,46.08,46.75,45.79,46.57,2880600,46.57
2013-10-28,45.34,46.07,45.19,45.78,3513100,45.78
2013-10-25,46.82,47.07,45.11,45.88,5556500,45.88
2013-10-24,46.79,47.58,45.96,46.06,12288100,46.06
2013-10-23,52.44,52.81,51.75,51.87,5563600,51.87
2013-10-22,51.87,53.61,51.87,53.39,2454800,53.39
2013-10-21,52.28,52.64,51.98,52.20,1749900,52.20
2013-10-18,52.17,52.43,51.97,52.15,2230900,52.15
2013-10-17,52.29,52.50,51.79,52.04,1397600,52.04
2013-10-16,51.67,52.11,51.55,51.81,1401100,51.81
2013-10-15,51.30,52.29,51.00,51.31,1630800,51.31
2013-10-14,51.64,51.99,51.13,51.89,977700,51.89
2013-10-11,51.04,52.12,51.02,51.89,1520500,51.89
2013-10-10,49.74,51.32,49.65,51.06,2058700,51.06
2013-10-09,50.25,50.33,48.31,49.30,2214100,49.30
2013-10-08,51.55,51.87,49.90,50.00,1488300,50.00
2013-10-07,52.20,52.73,51.64,51.67,1267300,51.67
2013-10-04,51.31,52.47,51.18,52.32,1524200,52.32
2013-10-03,52.27,52.40,50.93,51.16,1500300,51.16
2013-10-02,51.88,52.34,51.58,52.22,1066400,52.22
2013-10-01,51.74,52.44,51.51,52.42,1167300,52.42
2013-09-30,51.31,51.89,50.85,51.70,1504200,51.70
2013-09-27,51.70,52.39,51.47,51.75,1854000,51.75
2013-09-26,52.36,52.92,52.21,52.77,1121600,52.77
2013-09-25,52.07,52.43,51.56,52.08,1573700,52.08
2013-09-24,52.04,52.41,51.81,51.93,1781300,51.93
2013-09-23,52.69,52.95,51.89,51.98,3218400,51.98
2013-09-20,52.91,53.20,52.33,52.71,3157400,52.71
2013-09-19,52.55,53.03,52.30,52.77,2987000,52.77
2013-09-18,51.90,52.48,51.64,52.38,2543000,52.38
2013-09-17,51.35,51.74,51.12,51.58,1191800,51.58
2013-09-16,51.67,51.93,51.29,51.37,1756800,51.37
2013-09-13,50.81,51.32,50.59,51.27,2276600,51.27
2013-09-12,50.03,50.71,49.81,50.57,1582300,50.57
2013-09-11,49.40,50.21,49.20,50.13,2043000,50.13
2013-09-10,49.10,49.46,48.89,49.43,1711800,49.43
2013-09-09,47.67,49.10,47.67,48.89,2217400,48.89
2013-09-06,48.11,48.20,46.76,47.58,1576700,47.58
2013-09-05,47.29,48.01,47.24,47.92,1123300,47.92
2013-09-04,47.06,47.66,46.43,47.43,1321300,47.43
2013-09-03,46.40,47.05,46.40,46.85,1172900,46.85
2013-08-30,46.49,46.49,45.82,45.98,1068500,45.98
2013-08-29,46.19,46.80,46.01,46.50,1139300,46.50
2013-08-28,46.33,46.69,46.15,46.41,1278900,46.41
2013-08-27,46.13,46.57,45.86,46.30,1603800,46.30
