Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,32.91,33.00,32.35,32.48,3601900,32.48
2013-11-13,34.48,34.48,32.83,33.18,3760800,33.18
2013-11-12,32.78,33.29,32.78,33.16,2605300,33.16
2013-11-11,33.25,33.41,32.81,32.93,2957100,32.93
2013-11-08,33.24,33.63,33.15,33.39,3033200,33.39
2013-11-07,33.08,33.48,32.95,33.13,4235200,33.13
2013-11-06,33.02,33.30,32.96,33.11,1996400,32.96
2013-11-05,33.17,33.26,32.88,32.97,3025600,32.82
2013-11-04,33.23,33.61,33.23,33.30,2172600,33.15
2013-11-01,33.73,33.98,33.08,33.17,2924800,33.02
2013-10-31,33.29,34.09,33.29,33.60,3158900,33.45
2013-10-30,33.86,33.92,33.10,33.48,2451400,33.33
2013-10-29,33.50,33.95,33.44,33.86,2769500,33.71
2013-10-28,33.21,33.62,33.07,33.45,4736500,33.30
2013-10-25,33.40,33.55,33.06,33.13,4326600,32.98
2013-10-24,32.52,33.32,32.38,33.17,7537300,33.02
2013-10-23,33.98,34.04,32.01,32.30,14415100,32.15
2013-10-22,37.68,37.74,37.16,37.32,3512900,37.15
2013-10-21,37.47,37.65,37.36,37.46,1874500,37.29
2013-10-18,37.69,37.69,37.26,37.48,1984700,37.31
2013-10-17,36.86,38.00,36.76,37.83,4115600,37.66
2013-10-16,36.80,37.18,36.62,37.03,3049600,36.86
2013-10-15,37.17,37.24,36.64,36.70,1618700,36.53
2013-10-14,36.94,37.37,36.90,37.31,1234600,37.14
2013-10-11,36.45,37.35,36.45,37.19,2452400,37.02
2013-10-10,36.09,36.75,35.98,36.73,2010400,36.56
2013-10-09,36.16,36.29,35.47,35.79,2004400,35.63
2013-10-08,36.51,36.80,35.94,36.09,1609300,35.93
2013-10-07,36.37,36.86,36.33,36.52,1327400,36.35
2013-10-04,36.76,37.23,36.65,36.87,1775100,36.70
2013-10-03,36.85,37.00,36.36,36.66,1971300,36.49
2013-10-02,36.84,37.01,36.62,36.84,2717300,36.67
2013-10-01,37.12,37.44,36.90,37.00,2726000,36.83
2013-09-30,36.61,37.37,36.47,37.16,2666800,36.99
2013-09-27,37.10,37.20,36.93,36.96,2074100,36.79
2013-09-26,37.51,37.75,37.20,37.30,1353400,37.13
2013-09-25,37.32,37.64,37.00,37.37,1988400,37.20
2013-09-24,37.37,37.71,37.16,37.36,1970700,37.19
2013-09-23,37.63,37.82,37.09,37.30,3267300,37.13
2013-09-20,37.92,38.04,37.55,37.60,3236500,37.43
2013-09-19,38.28,38.35,37.88,37.98,1614100,37.81
2013-09-18,37.90,38.18,37.33,38.14,4449700,37.97
2013-09-17,38.16,38.48,38.02,38.18,2914500,38.01
2013-09-16,38.95,39.18,37.74,37.85,5697800,37.68
2013-09-13,38.82,38.95,38.55,38.67,1980600,38.49
2013-09-12,38.68,38.81,38.40,38.80,2972700,38.62
2013-09-11,38.53,38.97,38.24,38.70,2385500,38.52
2013-09-10,38.29,38.90,38.12,38.65,4392700,38.47
2013-09-09,37.72,38.02,37.64,37.98,2764200,37.81
2013-09-06,37.75,37.77,37.04,37.57,3125200,37.40
2013-09-05,37.37,37.52,37.02,37.46,2785300,37.29
2013-09-04,35.90,37.31,35.86,37.23,5468000,37.06
2013-09-03,35.53,36.22,35.50,35.88,5293700,35.72
2013-08-30,35.72,35.72,35.05,35.17,3186900,35.01
2013-08-29,34.83,35.98,34.79,35.69,5285500,35.53
2013-08-28,34.53,34.92,34.51,34.79,2132700,34.63
