Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,126.80,127.80,126.60,127.70,1899200,127.70
2013-11-13,125.40,125.90,124.25,125.55,1222300,125.55
2013-11-12,126.15,126.40,125.10,125.50,1171700,125.50
2013-11-11,125.00,126.85,124.30,126.05,1678700,126.05
2013-11-08,122.80,125.00,122.60,124.25,2046900,124.25
2013-11-07,123.50,124.55,122.55,123.00,1803500,123.00
2013-11-06,123.45,124.05,123.35,123.85,1021500,123.85
2013-11-05,124.20,124.40,122.30,123.35,1097100,123.35
2013-11-04,123.90,124.45,123.45,123.90,833600,123.90
2013-11-01,124.10,124.65,123.35,123.45,968200,123.45
2013-10-31,123.10,123.90,122.60,123.90,1344500,123.90
2013-10-30,124.00,124.05,123.10,123.35,1028100,123.35
2013-10-29,122.85,123.95,122.85,123.75,925000,123.75
2013-10-28,123.90,124.10,122.65,123.20,813000,123.20
2013-10-25,124.05,124.25,123.05,123.60,1114300,123.60
2013-10-24,123.90,124.65,123.45,124.55,1198000,124.55
2013-10-23,123.20,123.75,122.80,123.30,1222900,123.30
2013-10-22,122.65,124.90,122.40,124.40,1654400,124.40
2013-10-21,122.95,123.60,122.45,122.65,1047300,122.65
2013-10-18,123.00,123.50,122.45,123.30,3373900,123.30
2013-10-17,122.05,122.80,121.30,122.40,1154600,122.40
2013-10-16,121.00,122.05,120.40,121.95,1404800,121.95
2013-10-15,120.55,121.55,120.20,121.05,1391200,121.05
2013-10-14,119.05,120.20,118.80,120.00,874800,120.00
2013-10-11,120.55,120.60,119.40,119.45,1314600,119.45
2013-10-10,118.20,119.95,117.65,119.65,1668200,119.65
2013-10-09,116.90,118.20,116.60,117.05,1051300,117.05
2013-10-08,117.40,117.90,116.85,117.05,1228600,117.05
2013-10-07,116.55,117.35,115.45,117.15,1242700,117.15
2013-10-04,116.30,117.70,116.30,117.40,855000,117.40
2013-10-03,117.45,117.65,116.30,116.55,915100,116.55
2013-10-02,116.50,117.40,115.80,117.30,1442700,117.30
2013-10-01,116.50,117.40,116.05,117.00,1283000,117.00
2013-09-30,116.50,116.75,115.10,116.20,1595500,116.20
2013-09-27,117.20,117.90,116.90,117.75,955300,117.75
2013-09-26,118.55,118.80,116.85,117.20,1259900,117.20
2013-09-25,118.20,118.40,117.15,118.25,1287800,118.25
2013-09-24,116.65,118.45,116.65,118.30,1434200,118.30
2013-09-23,116.95,118.00,116.10,116.60,1306000,116.60
2013-09-20,117.55,118.00,116.60,116.65,3704700,116.65
2013-09-19,119.00,119.20,116.80,117.25,2803400,117.25
2013-09-18,116.20,116.65,115.60,116.35,1434400,116.35
2013-09-17,115.60,116.20,115.00,115.85,1378200,115.85
2013-09-16,114.50,116.00,113.90,115.60,2033600,115.60
2013-09-13,112.90,113.05,112.00,112.75,1085700,112.75
2013-09-12,113.70,113.95,112.60,112.90,1299400,112.90
2013-09-11,113.80,114.10,113.15,113.45,1509000,113.45
2013-09-10,113.65,114.50,113.40,113.90,1749600,113.90
2013-09-09,112.05,113.45,111.70,112.50,1371600,112.50
2013-09-06,110.80,112.35,110.20,112.00,2003400,112.00
2013-09-05,110.65,112.60,110.00,111.00,1760300,111.00
2013-09-04,110.60,111.00,109.15,110.65,1535400,110.65
2013-09-03,110.60,110.85,108.70,110.35,2005900,110.35
2013-09-02,110.40,110.90,110.05,110.25,1384000,110.25
2013-08-30,110.10,110.35,108.40,108.40,1982900,108.40
2013-08-29,111.00,111.00,108.85,110.20,1583600,110.20
2013-08-28,110.35,111.70,109.10,110.35,2196000,110.35
2013-08-27,112.95,113.60,110.85,110.90,2192400,110.90
2013-08-26,114.00,114.10,112.45,113.50,764400,113.50
2013-08-23,114.05,114.20,112.90,113.55,1338600,113.55
2013-08-22,113.00,114.60,113.00,113.55,1587700,113.55
2013-08-21,113.25,113.45,112.45,112.75,1103600,112.75
2013-08-20,114.00,114.15,112.45,113.35,1741700,113.35
2013-08-19,115.30,115.65,113.85,114.80,1154700,114.80
2013-08-16,115.50,116.30,114.65,115.60,2020400,115.60
2013-08-15,117.20,117.45,115.30,116.25,1620400,116.25
2013-08-14,118.15,118.25,117.10,117.50,1202000,117.50
2013-08-13,119.25,119.35,117.35,118.10,1139200,118.10
2013-08-12,118.85,119.15,117.50,118.60,1032500,118.60
2013-08-09,118.70,119.00,117.60,118.85,1303100,118.85
2013-08-08,118.50,119.55,118.00,118.65,1268100,118.65
2013-08-07,117.00,118.65,116.95,118.25,999500,118.25
2013-08-06,119.65,120.45,116.60,117.70,1685000,117.70
2013-08-05,120.20,120.85,118.80,119.60,1015900,119.60
2013-08-02,120.00,121.45,119.20,119.85,2228200,119.85
2013-08-01,117.60,118.85,117.40,118.85,1578700,118.85
2013-07-31,116.50,117.80,116.30,117.20,1295900,117.20
2013-07-30,117.60,118.00,116.45,117.00,1342700,117.00
2013-07-29,117.40,118.15,116.20,116.95,1282100,116.95
2013-07-26,118.40,118.75,116.70,117.30,1150400,117.30
2013-07-25,117.50,118.15,116.35,117.90,1411700,117.90
2013-07-24,117.20,118.50,116.50,117.40,1696600,117.40
2013-07-23,118.60,118.60,116.80,116.90,1048200,116.90
2013-07-22,118.00,118.65,117.45,118.00,911600,118.00
2013-07-19,116.90,117.90,116.40,117.65,2311400,117.65
2013-07-18,117.00,117.85,116.25,117.75,1479200,117.75
2013-07-17,115.45,117.05,114.30,117.00,1655700,117.00
2013-07-16,117.35,117.50,115.10,115.45,1225100,115.45
2013-07-15,116.45,117.15,115.75,117.10,1110700,117.10
2013-07-12,116.40,117.50,115.55,115.95,1285100,115.95
2013-07-11,116.00,116.80,115.35,115.95,2282600,115.95
2013-07-10,113.65,115.10,113.60,114.25,1546800,114.25
2013-07-09,114.60,115.15,113.55,114.15,1517400,114.15
2013-07-08,111.20,114.40,111.10,113.55,1719300,113.55
