Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,35.23,35.45,34.66,35.16,2073300,35.16
2013-11-13,34.00,35.53,33.95,35.23,3758100,35.23
2013-11-12,34.31,34.83,34.06,34.22,2790400,34.22
2013-11-11,34.50,35.10,34.24,34.26,2951900,34.26
2013-11-08,33.08,34.45,32.78,34.37,4530800,34.37
2013-11-07,32.71,33.75,32.41,33.00,7084700,33.00
2013-11-06,36.48,37.12,32.91,33.13,17825400,33.13
2013-11-05,38.18,38.54,37.33,38.31,3463000,38.31
2013-11-04,37.52,38.82,37.52,38.21,3298400,38.21
2013-11-01,37.38,37.55,36.53,36.90,2287400,36.90
2013-10-31,37.61,37.63,36.82,37.48,2242100,37.48
2013-10-30,37.00,38.14,36.96,37.66,2669400,37.66
2013-10-29,36.66,37.30,36.52,36.82,2137600,36.82
2013-10-28,35.86,37.00,35.58,36.64,2108600,36.64
2013-10-25,36.44,36.46,35.50,35.81,3511100,35.81
2013-10-24,35.59,36.58,35.08,36.52,3228000,36.52
2013-10-23,34.42,35.69,34.17,35.41,2682700,35.41
2013-10-22,33.94,34.55,33.84,34.50,1654600,34.50
2013-10-21,34.43,34.51,33.82,33.99,2146600,33.99
2013-10-18,34.25,35.39,34.06,34.83,3057500,34.83
2013-10-17,34.40,34.52,33.72,34.25,2784900,34.25
2013-10-16,34.44,34.54,33.98,34.45,2400100,34.45
2013-10-15,34.14,34.42,33.78,34.26,2641700,34.26
2013-10-14,33.98,34.47,33.77,34.16,2221800,34.16
2013-10-11,34.08,34.37,33.09,34.20,5824000,34.20
2013-10-10,34.19,34.49,33.94,34.14,2603900,34.14
2013-10-09,33.32,34.09,33.16,33.86,3149500,33.86
2013-10-08,33.79,33.97,33.01,33.19,4304200,33.19
2013-10-07,34.85,34.85,33.66,33.95,5443400,33.95
2013-10-04,35.47,35.51,34.98,35.10,3442300,35.10
2013-10-03,35.63,36.01,35.23,35.41,2705200,35.41
2013-10-02,35.89,36.11,35.46,35.76,2654300,35.76
2013-10-01,35.50,36.03,35.33,35.91,2577200,35.91
2013-09-30,35.63,35.71,35.20,35.37,3263700,35.37
2013-09-27,36.57,36.75,35.51,35.97,3935300,35.97
2013-09-26,37.03,37.73,36.28,36.51,3024600,36.51
2013-09-25,37.93,37.93,36.88,37.05,1800100,37.05
2013-09-24,37.25,38.16,36.76,37.60,2686700,37.60
2013-09-23,38.08,38.25,37.11,37.25,2299300,37.25
2013-09-20,38.32,38.36,37.64,38.08,3425000,38.08
2013-09-19,38.53,38.96,38.13,38.22,1668800,38.22
2013-09-18,38.25,38.70,37.63,38.62,1636400,38.62
2013-09-17,37.55,39.00,37.55,38.43,2960700,38.43
2013-09-16,37.57,37.79,37.16,37.34,1486400,37.34
2013-09-13,37.08,37.41,36.88,37.22,1641400,37.22
2013-09-12,37.23,37.30,36.68,37.21,2081700,37.21
2013-09-11,37.43,37.75,36.95,37.15,1849400,37.15
2013-09-10,36.87,37.44,36.35,37.42,2739300,37.42
2013-09-09,36.62,37.38,36.62,36.85,2790400,36.85
2013-09-06,35.95,36.84,35.19,36.45,3687100,36.45
2013-09-05,35.35,36.11,35.20,35.87,2526100,35.87
2013-09-04,34.86,35.60,34.79,35.12,2553400,35.12
2013-09-03,35.53,35.85,34.64,34.93,3288600,34.93
2013-08-30,35.84,35.95,35.09,35.31,2317000,35.31
2013-08-29,35.71,36.22,35.45,35.95,2261900,35.95
2013-08-28,35.85,36.60,35.60,36.16,3522500,35.96
2013-08-27,37.35,37.58,35.91,35.98,5376700,35.78
2013-08-26,38.68,39.21,37.71,37.78,3820000,37.57
2013-08-23,38.31,38.80,37.70,38.68,5855800,38.47
2013-08-22,37.00,39.05,36.90,38.53,18316400,38.32
2013-08-21,47.71,48.44,46.48,46.80,3273500,46.54
2013-08-20,48.35,48.98,48.16,48.50,1730000,48.23
2013-08-19,48.38,48.98,47.87,47.96,1077000,47.69
2013-08-16,48.71,49.49,48.30,48.39,1658200,48.12
2013-08-15,49.56,49.56,48.68,48.85,1731900,48.58
2013-08-14,50.11,50.58,49.77,50.22,1155400,49.94
2013-08-13,50.15,50.85,49.92,50.59,1027100,50.31
2013-08-12,49.05,50.35,48.77,50.17,1192100,49.89
2013-08-09,48.62,49.60,48.62,49.23,1958100,48.96
2013-08-08,48.78,49.46,48.50,48.73,1928600,48.46
2013-08-07,49.26,49.41,48.26,48.51,1171900,48.24
2013-08-06,49.64,49.94,48.00,49.57,3553900,49.30
2013-08-05,51.52,52.13,51.21,51.66,745900,51.37
2013-08-02,51.18,52.00,50.65,51.80,859300,51.51
2013-08-01,50.00,52.24,49.97,51.46,1511200,51.18
2013-07-31,49.89,50.00,49.48,49.87,959800,49.59
2013-07-30,49.00,50.00,48.71,49.79,1167400,49.51
2013-07-29,48.67,49.01,48.54,48.91,1716000,48.64
2013-07-26,49.04,49.09,48.20,49.00,1240600,48.73
2013-07-25,49.18,49.74,49.06,49.33,1241400,49.06
2013-07-24,49.52,49.90,48.88,49.24,804100,48.97
2013-07-23,49.81,50.01,48.96,49.37,830600,49.10
2013-07-22,49.31,50.00,48.96,49.78,954800,49.50
2013-07-19,49.57,49.80,48.83,49.22,1416300,48.95
2013-07-18,49.91,50.43,49.76,49.84,1218500,49.56
2013-07-17,50.41,50.68,49.60,49.87,649000,49.59
2013-07-16,51.47,51.48,49.61,50.23,1980100,49.95
2013-07-15,50.85,51.62,50.41,51.40,1143300,51.12
2013-07-12,50.55,51.39,50.37,50.95,1123400,50.67
2013-07-11,51.96,52.38,50.00,50.48,1804000,50.20
2013-07-10,50.89,51.57,50.64,51.46,1324200,51.18
2013-07-09,50.23,51.22,50.10,51.01,1298800,50.73
2013-07-08,49.23,50.40,48.89,49.94,1673000,49.66
2013-07-05,47.90,49.71,47.80,49.24,1818300,48.97
2013-07-03,47.83,47.99,46.97,47.55,1403600,47.29
2013-07-02,46.58,48.72,46.52,47.93,2816200,47.66
2013-07-01,45.53,46.96,45.40,46.19,1447800,45.93
2013-06-28,44.97,45.62,44.91,45.25,1645200,45.00
2013-06-27,44.68,45.53,44.35,45.26,1224600,45.01
2013-06-26,44.28,44.75,43.96,44.32,1249600,44.07
2013-06-25,43.79,44.31,43.60,43.77,1655100,43.53
2013-06-24,45.15,45.28,43.41,43.46,3194900,43.22
2013-06-21,47.29,47.45,45.87,45.95,2546500,45.70
2013-06-20,47.70,47.70,46.47,46.99,1856600,46.73
2013-06-19,48.57,49.00,47.81,47.85,1603700,47.59
2013-06-18,49.13,49.61,48.45,48.95,1146700,48.68
2013-06-17,49.11,50.15,48.73,49.09,1450300,48.82
2013-06-14,49.63,49.81,48.18,48.76,1639000,48.49
2013-06-13,49.21,49.81,48.94,49.59,1173700,49.32
2013-06-12,50.45,50.61,48.94,49.11,1442000,48.84
2013-06-11,50.50,50.99,50.16,50.27,993100,49.99
2013-06-10,51.85,52.09,51.02,51.13,1476300,50.85
2013-06-07,51.11,52.25,51.07,51.70,2061600,51.41
2013-06-06,49.23,49.75,48.62,49.60,1231400,49.33
2013-06-05,49.73,50.68,49.11,49.31,1460700,49.04
2013-06-04,49.76,50.40,49.42,49.99,1606000,49.71
2013-06-03,50.15,50.17,49.12,49.72,2216200,49.45
2013-05-31,49.95,51.43,49.86,50.08,1908900,49.80
2013-05-30,50.19,51.21,49.70,50.29,2266300,50.01
2013-05-29,49.03,50.75,48.95,50.08,2912500,49.60
2013-05-28,50.27,50.96,49.04,49.14,3338800,48.67
2013-05-24,50.61,51.80,47.94,50.02,10392200,49.54
2013-05-23,53.45,54.63,52.93,54.37,2039900,53.85
2013-05-22,54.16,55.23,53.81,54.11,1396500,53.60
2013-05-21,54.36,54.64,53.88,54.21,1206000,53.69
2013-05-20,54.10,54.61,53.45,54.41,1287400,53.89
2013-05-17,53.14,54.32,52.79,54.24,1351800,53.72
2013-05-16,53.42,53.73,52.63,53.32,1717700,52.81
2013-05-15,53.74,54.52,53.50,53.69,1355800,53.18
2013-05-14,53.45,53.71,52.74,53.66,1592800,53.15
2013-05-13,53.84,54.12,53.04,53.48,1248300,52.97
2013-05-10,53.40,54.20,53.00,53.84,1274000,53.33
2013-05-09,52.49,54.09,52.28,53.37,1999000,52.86
