Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,109.70,110.00,108.75,109.71,270000,109.71
2013-11-13,108.15,109.41,108.15,109.38,278100,109.38
2013-11-12,108.49,108.75,107.99,108.61,326800,108.61
2013-11-11,108.30,108.53,107.71,108.51,185300,108.51
2013-11-08,107.35,108.29,107.10,108.28,508900,108.28
2013-11-07,108.78,108.89,106.89,107.06,429700,107.06
2013-11-06,108.58,108.87,107.94,108.56,187700,108.56
2013-11-05,108.18,108.59,107.81,108.26,214600,108.26
2013-11-04,108.26,108.49,107.57,108.36,190700,108.36
2013-11-01,109.43,109.88,107.60,108.01,393600,108.01
2013-10-31,108.89,109.75,108.36,109.07,319900,109.07
2013-10-30,108.78,109.18,108.26,108.85,402800,108.85
2013-10-29,108.16,108.86,107.55,108.81,255700,108.81
2013-10-28,109.33,109.59,107.61,107.88,428100,107.88
2013-10-25,107.36,109.14,106.82,109.14,359500,109.14
2013-10-24,105.98,107.36,105.00,107.06,1117300,107.06
2013-10-23,111.43,111.43,105.32,107.00,1206300,107.00
2013-10-22,111.64,112.43,110.96,112.24,500900,112.24
2013-10-21,111.41,111.96,110.72,111.52,227100,111.52
2013-10-18,111.31,111.67,110.51,111.58,176400,111.58
2013-10-17,109.32,110.94,109.32,110.84,175300,110.84
2013-10-16,109.21,110.49,109.06,109.50,275500,109.50
2013-10-15,109.24,109.65,108.47,108.74,171900,108.74
2013-10-14,108.00,109.69,107.96,109.47,254500,109.47
2013-10-11,108.68,109.02,107.91,108.45,187200,108.45
2013-10-10,107.38,109.10,107.38,108.99,245300,108.99
2013-10-09,105.76,106.37,104.60,106.18,273900,106.18
2013-10-08,106.74,107.19,105.60,105.79,282300,105.79
2013-10-07,107.71,108.34,106.90,106.94,291100,106.94
2013-10-04,108.40,109.32,107.89,108.82,295900,108.82
2013-10-03,108.85,109.14,108.00,108.57,701000,108.57
2013-10-02,107.84,109.37,107.01,109.32,570900,109.32
2013-10-01,107.37,109.00,107.00,108.99,600500,108.99
2013-09-30,105.54,106.35,105.07,106.05,661500,106.05
2013-09-27,106.02,106.46,105.56,105.93,337800,105.93
2013-09-26,105.72,106.87,105.65,106.70,368700,106.70
2013-09-25,105.38,105.66,104.80,105.50,342000,105.50
2013-09-24,104.60,105.33,104.01,105.04,208000,105.04
2013-09-23,105.11,105.35,104.20,104.39,124700,104.39
2013-09-20,106.75,107.52,105.28,105.35,352500,105.35
2013-09-19,106.85,107.72,106.58,106.98,209600,106.98
2013-09-18,104.24,106.96,103.68,106.85,285800,106.85
2013-09-17,105.50,105.92,104.07,104.30,345200,104.30
2013-09-16,105.35,106.02,104.24,105.56,351700,105.56
2013-09-13,104.28,104.39,103.67,103.86,401100,103.86
2013-09-12,104.83,105.39,103.85,104.00,251100,104.00
2013-09-11,104.90,105.13,104.23,105.05,219700,105.05
2013-09-10,105.98,106.36,104.51,104.98,628400,104.50
2013-09-09,103.59,105.69,103.17,105.45,901900,104.97
2013-09-06,104.45,104.84,103.27,103.33,266800,102.86
2013-09-05,104.69,104.96,103.63,104.28,469500,103.80
2013-09-04,103.04,105.00,102.92,104.95,497700,104.47
2013-09-03,102.94,103.52,102.25,103.25,396700,102.78
2013-08-30,101.47,101.88,101.27,101.65,202300,101.19
2013-08-29,101.13,102.11,100.75,101.42,105800,100.96
2013-08-28,101.18,101.66,100.53,101.28,182500,100.82
2013-08-27,101.88,102.18,101.05,101.17,135000,100.71
2013-08-26,103.36,104.00,102.61,102.88,114200,102.41
2013-08-23,103.66,103.81,102.51,103.30,135400,102.83
2013-08-22,102.27,104.04,102.15,103.47,138700,103.00
2013-08-21,102.29,103.18,102.11,102.25,192900,101.78
2013-08-20,101.25,102.70,100.72,102.46,262000,101.99
2013-08-19,101.47,102.20,101.00,101.07,430200,100.61
2013-08-16,101.38,102.04,100.78,101.58,258700,101.12
2013-08-15,102.76,102.80,101.25,101.71,240000,101.24
2013-08-14,104.31,104.47,103.02,103.07,163600,102.60
2013-08-13,104.08,104.64,103.83,104.35,114000,103.87
2013-08-12,105.25,105.68,103.71,104.00,303100,103.52
2013-08-09,106.00,106.63,105.43,105.52,232600,105.04
2013-08-08,106.00,106.50,105.89,106.07,167900,105.59
2013-08-07,105.07,106.07,104.39,105.70,204000,105.22
2013-08-06,105.41,105.95,104.99,105.41,190500,104.93
2013-08-05,105.65,105.99,105.32,105.72,317000,105.24
2013-08-02,105.10,105.98,104.65,105.83,567800,105.35
2013-08-01,104.12,106.00,103.15,105.15,535100,104.67
2013-07-31,102.06,103.97,101.79,103.21,490600,102.74
2013-07-30,101.15,101.84,100.62,101.58,300600,101.12
2013-07-29,100.45,101.29,99.90,101.29,316900,100.83
2013-07-26,101.78,102.47,99.97,100.31,421100,99.85
2013-07-25,100.75,103.26,99.75,102.11,786000,101.64
2013-07-24,101.31,101.31,100.16,101.08,516300,100.62
2013-07-23,100.35,101.26,99.78,101.08,427900,100.62
2013-07-22,100.99,101.25,99.81,99.84,503600,99.38
2013-07-19,101.00,101.22,100.26,100.90,350000,100.44
2013-07-18,101.03,101.17,100.24,100.77,358100,100.31
2013-07-17,101.00,101.07,100.27,100.50,377500,100.04
2013-07-16,100.40,100.65,99.75,100.64,389200,100.18
2013-07-15,100.29,100.71,99.14,100.33,378700,99.87
2013-07-12,99.56,100.44,99.36,100.29,337300,99.83
2013-07-11,100.04,100.68,99.40,99.63,451900,99.17
2013-07-10,99.04,99.42,98.53,98.87,555700,98.42
2013-07-09,98.44,99.27,97.90,99.23,371800,98.78
2013-07-08,97.48,97.99,97.29,97.92,334700,97.47
2013-07-05,96.89,97.44,96.79,97.11,319200,96.67
2013-07-03,94.37,96.70,94.37,96.30,178300,95.86
2013-07-02,97.04,97.98,96.22,96.55,510200,96.11
2013-07-01,95.73,97.80,95.58,97.50,478800,97.05
2013-06-28,95.84,96.39,95.01,95.46,895500,95.02
2013-06-27,96.88,96.92,95.38,95.83,436500,95.39
2013-06-26,96.03,96.98,95.61,96.74,529500,96.30
2013-06-25,94.94,95.85,94.34,95.52,665200,95.08
2013-06-24,93.82,94.58,92.86,94.06,584500,93.63
2013-06-21,95.78,95.80,93.71,95.03,1146100,94.60
2013-06-20,93.90,95.91,93.90,95.27,575400,94.83
2013-06-19,96.43,97.68,96.15,96.15,689200,95.71
2013-06-18,96.03,96.28,95.39,96.09,737700,95.65
2013-06-17,96.50,96.86,95.69,95.94,743400,95.50
2013-06-14,96.50,97.18,95.27,95.94,697400,95.50
2013-06-13,96.81,96.90,96.08,96.31,926200,95.87
2013-06-12,98.79,99.30,96.79,96.82,585700,96.38
2013-06-11,99.68,101.06,98.83,98.86,495900,97.93
2013-06-10,101.25,101.35,100.55,100.69,363200,99.74
2013-06-07,100.62,101.50,100.39,101.15,354100,100.20
2013-06-06,101.04,101.44,99.75,100.76,289500,99.81
2013-06-05,103.02,103.21,101.05,101.08,304200,100.13
2013-06-04,103.32,103.89,103.05,103.52,440700,102.55
2013-06-03,102.82,103.67,102.13,103.33,242400,102.36
2013-05-31,102.90,104.32,102.58,102.89,354400,101.92
2013-05-30,103.86,104.00,102.91,103.37,192100,102.40
2013-05-29,103.50,104.16,103.02,103.77,346200,102.79
2013-05-28,103.58,104.40,103.42,103.98,499500,103.00
2013-05-24,102.03,102.96,101.71,102.71,342800,101.74
2013-05-23,101.65,102.62,100.49,102.51,289800,101.55
2013-05-22,102.79,103.79,102.39,102.80,482200,101.83
2013-05-21,102.09,103.75,101.77,102.85,435800,101.88
2013-05-20,101.51,102.58,100.99,102.20,349600,101.24
2013-05-17,100.50,102.06,100.50,101.87,428800,100.91
2013-05-16,100.18,100.90,100.00,100.30,581300,99.36
2013-05-15,98.47,100.61,98.40,100.47,533400,99.53
2013-05-14,96.65,99.33,96.55,98.66,495700,97.73
2013-05-13,97.56,97.76,95.60,96.72,682600,95.81
2013-05-10,98.69,98.82,97.50,97.78,253400,96.86
2013-05-09,98.49,98.90,98.03,98.67,239700,97.74
2013-05-08,98.71,99.47,98.24,98.67,328900,97.74
2013-05-07,97.04,98.75,96.79,98.75,459600,97.82
2013-05-06,96.81,97.49,95.98,96.77,426500,95.86
2013-05-03,96.50,97.28,95.39,96.83,645700,95.92
2013-05-02,94.30,96.08,93.54,96.06,870700,95.16
2013-05-01,96.79,96.93,93.41,93.91,864100,93.03
2013-04-30,96.88,97.07,96.31,96.65,580000,95.74
2013-04-29,97.09,97.13,96.20,96.86,450200,95.95
2013-04-26,97.55,98.03,96.65,96.70,290300,95.79
2013-04-25,97.69,98.45,97.18,97.51,395600,96.59
2013-04-24,95.50,97.48,95.50,97.39,468900,96.47
2013-04-23,96.22,96.69,95.78,95.94,490700,95.04
2013-04-22,96.81,96.96,95.15,96.24,428000,95.33
2013-04-19,95.33,96.63,94.96,95.87,326100,94.97
2013-04-18,96.86,96.86,94.62,94.99,332700,94.10
2013-04-17,96.22,96.99,95.73,96.52,449600,95.61
2013-04-16,95.23,96.76,93.63,96.73,490100,95.82
2013-04-15,97.94,97.94,94.42,94.61,403600,93.72
2013-04-12,97.49,97.88,96.67,97.20,596600,96.29
2013-04-11,97.51,98.57,97.37,97.74,360800,96.82
2013-04-10,96.88,97.77,96.14,97.40,444600,96.48
2013-04-09,97.11,97.42,96.01,96.88,350600,95.97
2013-04-08,95.63,96.95,95.31,96.88,537600,95.97
2013-04-05,95.77,96.06,94.82,95.95,496700,95.05
2013-04-04,95.75,96.73,95.31,96.16,319600,95.26
2013-04-03,97.10,97.10,95.40,95.73,515100,94.83
2013-04-02,98.00,98.64,96.61,96.99,437600,96.08
2013-04-01,99.30,99.44,97.76,97.96,428000,97.04
2013-03-28,98.66,99.28,97.89,99.16,431300,98.23
2013-03-27,97.45,98.52,96.72,98.42,471200,97.49
2013-03-26,97.97,98.37,97.36,98.21,446400,97.29
2013-03-25,96.69,98.14,96.50,97.57,595600,96.65
2013-03-22,98.39,98.79,97.00,98.02,568200,97.10
2013-03-21,97.50,100.86,96.64,97.96,1964900,97.04
2013-03-20,102.50,103.48,102.35,103.35,362500,102.38
2013-03-19,103.08,103.23,101.45,101.94,718800,100.98
2013-03-18,102.17,103.15,101.89,102.69,418900,101.72
2013-03-15,102.82,103.34,102.38,103.06,1029400,102.09
2013-03-14,102.48,103.36,101.92,103.26,707500,102.29
2013-03-13,103.12,103.71,102.77,103.52,562300,102.55
2013-03-12,100.50,103.83,100.50,103.00,637200,102.03
2013-03-11,102.20,102.66,101.66,102.25,397900,100.89
2013-03-08,102.36,102.73,101.79,102.20,446100,100.84
2013-03-07,101.51,102.48,101.40,101.65,412900,100.30
2013-03-06,101.90,102.40,101.39,101.49,345700,100.14
2013-03-05,101.44,102.35,101.19,101.38,446400,100.03
2013-03-04,100.49,101.85,100.43,101.02,707200,99.68
2013-03-01,99.93,101.26,99.67,100.72,736000,99.38
2013-02-28,100.67,101.32,100.25,100.28,574100,98.95
2013-02-27,97.80,101.23,97.80,100.50,843800,99.17
2013-02-26,96.31,98.15,95.93,98.10,514000,96.80
2013-02-25,98.72,98.89,95.85,95.85,393500,94.58
2013-02-22,96.56,98.28,96.19,98.22,471500,96.92
2013-02-21,97.04,97.17,95.44,96.21,545700,94.93
2013-02-20,98.22,98.61,97.10,97.14,556600,95.85
2013-02-19,98.30,98.96,97.81,98.64,564900,97.33
2013-02-15,97.96,99.01,97.76,98.40,509000,97.09
2013-02-14,97.85,98.10,97.44,97.90,510600,96.60
2013-02-13,98.09,98.79,97.83,98.15,295600,96.85
2013-02-12,97.53,97.94,97.06,97.78,357800,96.48
2013-02-11,97.89,98.34,97.26,97.51,350100,96.22
2013-02-08,97.35,98.31,97.26,97.92,344600,96.62
2013-02-07,97.15,97.68,96.27,97.27,528600,95.98
2013-02-06,96.48,97.19,96.31,97.14,481000,95.85
2013-02-05,95.78,97.40,95.78,96.83,625000,95.54
2013-02-04,95.79,96.47,94.89,95.23,449200,93.97
2013-02-01,95.62,96.74,95.28,96.47,516600,95.19
2013-01-31,94.34,95.90,94.34,95.24,621500,93.98
2013-01-30,95.06,95.64,94.21,94.69,717400,93.43
2013-01-29,92.64,95.04,92.50,94.99,635400,93.73
2013-01-28,93.22,93.71,92.78,92.97,400200,91.74
2013-01-25,93.71,94.22,92.27,93.22,517300,91.98
2013-01-24,88.60,94.22,88.60,93.27,999800,92.03
2013-01-23,94.48,95.15,92.27,92.87,1035800,91.64
2013-01-22,93.50,94.94,93.43,94.94,453300,93.68
2013-01-18,93.49,93.64,93.08,93.61,329600,92.37
2013-01-17,92.99,94.07,92.40,93.32,568300,92.08
2013-01-16,92.22,92.70,91.70,92.27,234400,91.04
2013-01-15,91.97,92.90,91.87,92.56,460400,91.33
2013-01-14,92.58,93.29,91.58,92.30,432700,91.07
2013-01-11,93.56,93.66,92.36,92.91,341200,91.68
2013-01-10,93.78,93.79,92.40,93.49,573600,92.25
2013-01-09,94.02,94.15,93.23,93.54,486700,92.30
2013-01-08,93.82,94.50,93.30,93.74,534800,92.50
2013-01-07,94.25,94.25,93.01,93.77,353400,92.52
2013-01-04,93.76,94.92,93.74,94.76,400800,93.50
2013-01-03,93.67,94.72,93.52,93.78,413100,92.53
2013-01-02,92.82,93.62,92.65,93.60,509300,92.36
