Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,9.10,9.31,9.01,9.24,1635100,9.24
2013-11-13,8.87,9.22,8.86,9.09,1503000,9.09
2013-11-12,9.00,9.06,8.68,8.95,1628200,8.95
2013-11-11,8.81,9.16,8.64,9.02,2912400,9.02
2013-11-08,8.25,8.78,8.07,8.75,4653200,8.75
2013-11-07,8.71,8.94,8.20,8.25,4287200,8.25
2013-11-06,9.00,9.01,8.28,8.40,5150000,8.40
2013-11-05,9.24,9.34,9.08,9.20,2010600,9.20
2013-11-04,9.19,9.42,9.12,9.26,1950800,9.26
2013-11-01,9.30,9.31,8.98,9.19,1943800,9.19
2013-10-31,9.48,9.50,9.26,9.29,1501800,9.29
2013-10-30,9.58,9.68,9.40,9.49,1219900,9.49
2013-10-29,9.55,9.66,9.43,9.58,1047400,9.58
2013-10-28,9.40,9.65,9.30,9.53,1679700,9.53
2013-10-25,9.28,9.43,9.15,9.42,1089900,9.42
2013-10-24,9.13,9.28,9.13,9.28,1030500,9.28
2013-10-23,9.21,9.32,9.12,9.14,3159000,9.14
2013-10-22,9.07,9.26,9.07,9.23,1350500,9.23
2013-10-21,9.11,9.21,9.05,9.10,1238100,9.10
2013-10-18,8.98,9.25,8.89,9.15,1946400,9.15
2013-10-17,8.95,9.00,8.85,8.94,1802100,8.94
2013-10-16,8.98,9.03,8.86,8.99,1458400,8.99
2013-10-15,8.97,9.04,8.91,8.95,1578200,8.95
2013-10-14,8.88,9.05,8.83,8.99,1657400,8.99
2013-10-11,8.99,9.08,8.81,8.92,1946600,8.92
2013-10-10,9.10,9.15,9.00,9.05,1279900,9.05
2013-10-09,9.04,9.17,8.94,9.01,2312000,9.01
2013-10-08,9.38,9.38,8.90,8.95,2947600,8.95
2013-10-07,9.47,9.52,9.34,9.34,2717100,9.34
2013-10-04,9.48,9.63,9.38,9.55,1218100,9.55
2013-10-03,9.65,9.65,9.44,9.51,2758400,9.51
2013-10-02,9.42,9.92,9.38,9.65,4786800,9.65
2013-10-01,9.35,9.58,9.35,9.55,2399200,9.55
2013-09-30,9.38,9.52,9.28,9.40,2086900,9.40
2013-09-27,9.53,9.68,9.46,9.51,1320700,9.51
2013-09-26,9.63,9.89,9.55,9.59,1958500,9.59
2013-09-25,9.70,9.80,9.46,9.49,2297200,9.49
2013-09-24,9.67,9.86,9.57,9.66,1815000,9.66
2013-09-23,9.82,9.92,9.52,9.65,2981000,9.65
2013-09-20,9.97,10.03,9.80,9.89,4877800,9.89
2013-09-19,10.06,10.15,9.90,9.92,2253500,9.92
2013-09-18,10.05,10.29,9.83,10.08,6125600,10.08
2013-09-17,10.00,10.47,9.95,10.17,22117100,10.17
2013-09-16,9.05,9.18,8.60,8.61,3866900,8.61
2013-09-13,8.68,9.26,8.58,8.93,6644000,8.93
2013-09-12,8.72,8.81,8.60,8.68,3314600,8.68
2013-09-11,8.58,8.83,8.54,8.75,4501700,8.75
2013-09-10,8.48,8.63,8.37,8.62,6404100,8.62
2013-09-09,8.29,8.48,8.20,8.43,4884700,8.43
2013-09-06,8.28,8.42,8.10,8.28,5034900,8.28
2013-09-05,8.05,8.33,8.03,8.26,5803900,8.26
2013-09-04,7.88,8.00,7.78,7.98,4843900,7.98
2013-09-03,8.17,8.24,7.84,7.86,4628100,7.86
2013-08-30,8.35,8.35,8.06,8.13,3679200,8.13
2013-08-29,8.45,8.52,8.29,8.36,3366900,8.36
2013-08-28,8.45,8.61,8.38,8.43,4128800,8.43
2013-08-27,8.63,8.75,8.42,8.43,4565000,8.43
2013-08-26,8.93,9.05,8.69,8.71,8300500,8.71
2013-08-23,9.37,9.55,8.59,8.76,28589900,8.76
2013-08-22,11.12,11.40,10.88,10.98,7697300,10.98
