Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,33.32,33.68,33.05,33.53,684600,33.53
2013-11-13,32.74,33.24,32.37,33.22,1138000,33.22
2013-11-12,33.57,33.70,32.96,33.10,1030400,33.10
2013-11-11,33.72,33.92,33.53,33.81,602300,33.81
2013-11-08,33.09,33.83,32.92,33.82,996200,33.82
2013-11-07,34.01,34.30,33.04,33.13,1413300,33.13
2013-11-06,33.95,34.06,33.70,33.93,993100,33.93
2013-11-05,33.56,33.85,33.17,33.71,1410400,33.71
2013-11-04,33.63,34.00,33.49,33.72,1323900,33.72
2013-11-01,33.16,33.67,33.11,33.36,1212200,33.36
2013-10-31,33.29,33.67,33.10,33.10,1504800,33.10
2013-10-30,33.48,33.62,32.87,33.27,1129500,33.27
2013-10-29,33.40,33.85,33.18,33.49,1278600,33.49
2013-10-28,33.59,33.93,33.15,33.26,1273400,33.26
2013-10-25,33.63,33.97,33.06,33.75,1008300,33.75
2013-10-24,33.54,34.13,33.42,33.57,2273200,33.57
2013-10-23,31.40,33.87,30.80,33.42,4162300,33.42
2013-10-22,32.36,33.05,32.07,32.79,2155500,32.79
2013-10-21,31.72,32.38,31.66,32.04,1723200,32.04
2013-10-18,31.55,31.65,31.10,31.52,996600,31.52
2013-10-17,31.26,31.97,31.24,31.40,1510800,31.40
2013-10-16,31.97,32.20,31.09,31.42,2063200,31.42
2013-10-15,30.77,32.65,30.62,32.03,2955300,32.03
2013-10-14,29.50,31.25,29.49,30.82,3085200,30.82
2013-10-11,30.58,31.17,30.58,30.92,934700,30.92
2013-10-10,30.41,30.96,30.30,30.68,1090300,30.68
2013-10-09,30.19,30.30,29.60,30.04,884800,30.04
2013-10-08,30.60,30.88,29.93,30.06,1274800,30.06
2013-10-07,30.56,30.79,30.26,30.54,1338200,30.54
2013-10-04,30.47,31.00,30.47,30.87,1028800,30.87
2013-10-03,30.76,31.09,30.37,30.53,1851300,30.53
2013-10-02,30.40,30.89,30.32,30.88,1220600,30.88
2013-10-01,30.41,31.35,30.35,30.97,1842700,30.97
2013-09-30,29.82,30.58,29.82,30.52,1354400,30.52
2013-09-27,30.34,30.46,29.65,30.24,1306400,30.24
2013-09-26,30.97,31.14,30.42,30.65,1113300,30.65
2013-09-25,30.92,31.34,30.54,30.82,1616700,30.82
2013-09-24,31.01,31.18,30.52,30.79,1006000,30.79
2013-09-23,30.99,31.21,30.84,31.01,1162600,31.01
2013-09-20,31.74,31.74,30.89,30.99,1280300,30.99
2013-09-19,32.03,32.74,31.58,31.72,1751300,31.72
2013-09-18,30.95,32.08,30.75,31.87,1497800,31.87
2013-09-17,30.95,31.50,30.75,30.89,1530700,30.89
2013-09-16,30.19,31.64,30.13,30.95,4190200,30.95
2013-09-13,28.45,28.68,28.30,28.63,557900,28.63
2013-09-12,29.02,29.12,28.41,28.49,851800,28.49
2013-09-11,29.09,29.33,28.63,29.21,803200,29.21
2013-09-10,28.62,29.34,28.59,29.12,1110000,29.12
2013-09-09,27.73,28.43,27.63,28.36,771100,28.36
2013-09-06,27.85,28.08,27.37,27.52,743900,27.52
2013-09-05,26.84,27.84,26.83,27.71,945200,27.71
2013-09-04,26.57,27.09,26.48,26.92,757900,26.92
2013-09-03,27.25,27.45,26.45,26.58,887200,26.58
2013-08-30,26.87,26.94,26.64,26.71,869900,26.71
2013-08-29,26.72,27.08,26.60,26.85,761200,26.85
2013-08-28,26.60,27.20,26.39,26.81,1016900,26.81
2013-08-27,27.10,27.20,26.53,26.63,1435200,26.63
2013-08-26,27.62,27.85,27.40,27.46,796000,27.46
2013-08-23,27.46,27.83,27.28,27.53,826000,27.53
2013-08-22,27.21,27.97,27.10,27.34,932200,27.34
2013-08-21,26.80,27.19,26.56,26.92,1329900,26.92
2013-08-20,26.64,27.21,26.51,27.00,1113500,27.00
2013-08-19,26.96,27.02,26.52,26.67,1045600,26.67
2013-08-16,27.51,27.66,26.96,27.19,1586300,27.01
2013-08-15,27.87,27.87,27.36,27.61,1291000,27.43
2013-08-14,28.12,28.55,27.88,28.24,965300,28.05
2013-08-13,28.61,28.75,28.06,28.15,979800,27.96
2013-08-12,28.97,29.41,28.37,28.46,1432300,28.27
2013-08-09,27.94,29.31,27.94,28.99,1355700,28.80
2013-08-08,27.28,28.23,27.25,27.92,1137600,27.74
2013-08-07,26.86,27.26,26.68,26.96,823100,26.78
2013-08-06,27.53,27.59,26.70,26.94,1527800,26.76
2013-08-05,27.75,27.84,27.48,27.67,656200,27.49
2013-08-02,27.62,27.89,27.43,27.79,709100,27.61
2013-08-01,27.91,28.22,27.58,27.68,1122800,27.50
2013-07-31,28.07,28.20,27.51,27.57,1445600,27.39
2013-07-30,27.83,28.20,27.54,27.98,1365900,27.79
2013-07-29,27.81,27.98,27.47,27.81,1519300,27.63
2013-07-26,27.41,27.98,27.33,27.92,1726000,27.74
2013-07-25,26.55,27.63,26.51,27.57,2773300,27.39
2013-07-24,26.03,26.94,25.60,26.92,5058500,26.74
2013-07-23,27.17,28.04,27.13,27.89,1963100,27.71
2013-07-22,27.08,27.49,27.03,27.36,1098100,27.18
2013-07-19,26.81,27.05,26.65,26.98,1629200,26.80
2013-07-18,26.80,27.03,26.69,26.81,1388200,26.63
2013-07-17,26.72,26.98,26.48,26.72,1525300,26.54
2013-07-16,27.03,27.20,26.28,26.54,2084300,26.36
2013-07-15,27.33,27.50,26.87,26.90,944500,26.72
2013-07-12,27.82,27.90,27.21,27.35,1123100,27.17
2013-07-11,27.50,28.16,27.45,27.99,1494400,27.80
2013-07-10,27.11,27.20,26.47,26.91,941300,26.73
2013-07-09,26.71,27.48,26.69,27.11,1417100,26.93
2013-07-08,26.41,26.66,26.20,26.33,1055400,26.16
2013-07-05,26.22,26.37,25.88,26.28,994300,26.11
2013-07-03,25.84,26.06,25.67,26.00,910200,25.83
2013-07-02,26.25,26.42,25.66,26.08,2309900,25.91
2013-07-01,26.44,26.66,26.10,26.28,2061400,26.11
2013-06-28,26.87,26.97,26.23,26.31,2378700,26.14
2013-06-27,26.94,27.63,26.88,27.05,1991600,26.87
2013-06-26,26.66,26.97,25.97,26.76,1960300,26.58
2013-06-25,26.59,26.70,26.02,26.55,1697000,26.37
2013-06-24,27.00,27.05,25.60,26.12,2158300,25.95
2013-06-21,27.65,27.83,27.09,27.56,2004200,27.38
2013-06-20,27.56,27.86,27.09,27.29,2210400,27.11
2013-06-19,28.18,28.38,27.96,28.06,1231000,27.87
2013-06-18,28.02,28.41,27.90,28.29,927300,28.10
2013-06-17,27.95,28.15,27.84,28.04,1020500,27.85
2013-06-14,28.06,28.24,27.47,27.65,1092500,27.47
2013-06-13,27.10,28.11,27.02,28.01,1165400,27.82
2013-06-12,27.05,27.42,26.99,27.13,1380000,26.95
2013-06-11,26.99,27.03,26.66,26.91,1407600,26.73
2013-06-10,27.70,27.75,27.03,27.48,995000,27.30
2013-06-07,27.12,27.61,27.09,27.57,1755400,27.39
2013-06-06,27.00,27.31,26.69,27.00,1571700,26.82
2013-06-05,27.20,27.37,26.89,27.06,1498900,26.88
2013-06-04,27.82,28.10,27.20,27.48,1977400,27.30
2013-06-03,27.65,27.85,26.50,27.77,2382600,27.59
2013-05-31,27.90,28.51,27.54,27.57,5569000,27.39
2013-05-30,28.31,28.37,27.98,28.09,1739500,27.90
2013-05-29,28.08,28.69,27.99,28.19,1848800,28.00
2013-05-28,28.77,28.83,28.26,28.30,2254200,28.11
2013-05-24,28.67,28.79,28.16,28.26,1843400,28.07
2013-05-23,28.85,29.45,28.63,29.17,1605200,28.98
2013-05-22,31.01,31.52,29.29,29.48,2467600,29.28
2013-05-21,30.58,31.63,30.26,30.94,1763000,30.74
2013-05-20,29.59,30.61,29.46,30.48,1574900,30.28
2013-05-17,28.77,29.86,28.65,29.77,1805800,29.39
2013-05-16,28.79,29.55,28.53,28.56,1848300,28.20
2013-05-15,28.95,29.13,28.64,29.01,1143900,28.64
2013-05-14,29.09,29.39,28.77,29.09,1100900,28.72
2013-05-13,29.04,29.33,28.90,29.11,979900,28.74
2013-05-10,28.71,29.16,28.32,29.16,962600,28.79
2013-05-09,28.95,29.34,28.48,28.71,1246700,28.35
2013-05-08,27.70,29.09,27.64,29.04,2114100,28.67
2013-05-07,27.16,27.99,27.16,27.64,1265200,27.29
2013-05-06,27.66,27.66,27.10,27.20,1061300,26.86
2013-05-03,26.68,27.80,26.56,27.57,2169400,27.22
2013-05-02,26.13,26.34,25.72,26.19,1264800,25.86
2013-05-01,26.60,26.68,26.00,26.02,2013900,25.69
2013-04-30,26.60,26.99,26.25,26.98,1459000,26.64
2013-04-29,26.69,26.93,26.22,26.84,1817400,26.50
2013-04-26,27.15,27.29,26.39,26.46,2375500,26.13
