Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,17.38,17.71,17.26,17.70,7647600,17.70
2013-11-13,17.08,17.34,16.88,17.32,6394400,17.32
2013-11-12,16.94,17.19,16.82,17.11,8305900,17.11
2013-11-11,16.95,17.02,16.65,16.99,7059200,16.99
2013-11-08,16.83,17.18,16.76,17.07,6914100,17.07
2013-11-07,16.10,17.07,16.06,16.84,18971500,16.84
2013-11-06,16.90,16.97,16.44,16.53,11754500,16.53
2013-11-05,16.42,16.59,16.23,16.53,9899400,16.53
2013-11-04,16.86,16.93,16.73,16.84,5460100,16.84
2013-11-01,16.68,17.00,16.57,16.70,6637400,16.70
2013-10-31,16.70,16.74,16.54,16.68,23490000,16.68
2013-10-30,16.91,17.03,16.50,16.61,14207000,16.61
2013-10-29,17.34,17.41,16.58,16.59,31927700,16.59
2013-10-28,17.39,17.54,17.16,17.30,8707800,17.30
2013-10-25,17.47,17.55,17.26,17.34,5554700,17.34
2013-10-24,17.41,17.65,17.22,17.31,6716500,17.31
2013-10-23,17.55,17.70,17.37,17.41,5141200,17.41
2013-10-22,17.61,17.70,17.44,17.60,5985100,17.60
2013-10-21,17.75,17.80,17.40,17.46,4303800,17.46
2013-10-18,17.69,17.72,17.29,17.59,5760500,17.59
2013-10-17,17.32,17.62,17.30,17.59,5288200,17.59
2013-10-16,17.76,17.85,17.30,17.32,6919400,17.32
2013-10-15,17.83,17.98,17.67,17.76,10953900,17.76
2013-10-14,16.94,17.88,16.93,17.83,10882500,17.83
2013-10-11,16.92,17.20,16.87,17.08,8482600,17.08
2013-10-10,16.46,17.10,16.39,17.05,13269400,17.05
2013-10-09,16.38,16.57,16.25,16.28,5775700,16.28
2013-10-08,16.46,16.55,16.26,16.37,7170600,16.37
2013-10-07,16.80,16.83,16.48,16.51,3874400,16.51
2013-10-04,16.63,16.95,16.60,16.88,4317500,16.88
2013-10-03,16.76,16.79,16.60,16.66,5467100,16.66
2013-10-02,16.84,16.90,16.58,16.79,4779800,16.79
2013-10-01,16.68,16.99,16.65,16.90,5388300,16.90
2013-09-30,16.71,16.81,16.49,16.68,4041200,16.68
2013-09-27,17.00,17.04,16.76,16.82,3396800,16.82
2013-09-26,17.03,17.09,16.90,17.01,3365500,17.01
2013-09-25,16.96,17.09,16.86,16.95,5077400,16.95
2013-09-24,16.94,17.04,16.88,16.93,4937000,16.93
2013-09-23,17.00,17.03,16.84,16.96,4783200,16.96
2013-09-20,17.24,17.27,16.96,16.99,10353100,16.99
2013-09-19,17.00,17.24,16.86,17.10,9290300,17.10
2013-09-18,17.08,17.22,16.90,17.15,6842500,17.15
2013-09-17,17.32,17.38,17.14,17.16,4227700,17.16
2013-09-16,17.18,17.37,17.06,17.25,5934100,17.25
2013-09-13,16.99,17.03,16.84,16.97,3520500,16.97
2013-09-12,17.14,17.18,16.73,16.90,3760600,16.90
2013-09-11,17.22,17.37,17.07,17.18,4624300,17.18
2013-09-10,17.34,17.41,16.89,17.15,6717000,17.15
2013-09-09,17.06,17.14,16.93,17.04,3344700,17.04
2013-09-06,17.31,17.31,16.77,16.97,6169300,16.97
2013-09-05,17.02,17.30,17.00,17.17,4691100,17.17
2013-09-04,17.02,17.14,16.86,17.10,5578800,17.10
2013-09-03,16.81,17.25,16.80,16.98,9502600,16.98
2013-08-30,16.76,16.77,16.24,16.32,4946200,16.32
2013-08-29,16.36,16.96,16.36,16.75,6665700,16.75
2013-08-28,16.22,16.53,16.19,16.39,5259700,16.39
2013-08-27,16.44,16.46,16.02,16.20,8277700,16.20
2013-08-26,16.70,16.72,16.55,16.56,3900900,16.56
2013-08-23,16.86,16.89,16.60,16.72,5433800,16.72
2013-08-22,16.66,16.93,16.64,16.80,2862200,16.80
2013-08-21,16.68,16.75,16.39,16.58,5419500,16.58
2013-08-20,16.75,16.97,16.58,16.75,5633800,16.75
2013-08-19,17.24,17.30,16.79,16.79,5566100,16.79
2013-08-16,17.23,17.42,17.17,17.30,6657200,17.30
2013-08-15,17.33,17.39,17.09,17.23,6821400,17.23
2013-08-14,17.38,17.51,17.31,17.44,8631300,17.44
2013-08-13,17.28,17.53,17.16,17.46,8433300,17.46
2013-08-12,17.21,17.30,17.04,17.18,5223800,17.18
2013-08-09,17.43,17.45,17.14,17.23,5896200,17.23
2013-08-08,17.50,17.67,17.27,17.50,6119500,17.50
2013-08-07,17.48,17.63,17.37,17.51,4032500,17.51
2013-08-06,17.64,17.80,17.17,17.45,11238500,17.45
2013-08-05,17.83,17.93,17.60,17.73,6764100,17.73
2013-08-02,17.94,18.19,17.40,18.08,11018800,18.08
2013-08-01,17.99,18.33,17.62,18.20,7741600,18.20
2013-07-31,18.19,18.28,17.94,17.98,8697900,17.98
2013-07-30,18.25,18.43,17.92,18.18,9736000,18.18
2013-07-29,17.43,18.39,17.38,18.27,20717800,18.27
2013-07-26,17.16,17.76,16.86,17.46,41848800,17.46
2013-07-25,15.38,15.42,15.09,15.18,4552300,15.18
2013-07-24,15.33,15.43,15.13,15.39,5253200,15.39
2013-07-23,15.15,15.52,15.15,15.22,4642700,15.22
2013-07-22,15.38,15.66,14.89,15.15,8197100,15.15
2013-07-19,15.60,15.66,15.49,15.53,6732100,15.53
2013-07-18,15.31,15.69,15.30,15.58,8501000,15.58
2013-07-17,15.12,15.29,15.01,15.27,3726200,15.27
2013-07-16,15.16,15.23,15.03,15.10,3577400,15.10
2013-07-15,15.00,15.26,14.99,15.13,6601300,15.13
2013-07-12,15.24,15.31,14.90,15.01,5634700,15.01
2013-07-11,15.01,15.31,14.97,15.31,4507800,15.31
2013-07-10,14.89,15.00,14.80,14.90,3777000,14.90
2013-07-09,14.57,14.99,14.49,14.89,7968200,14.89
2013-07-08,14.79,14.99,14.33,14.46,7542300,14.46
2013-07-05,14.45,14.66,14.34,14.66,2709200,14.66
2013-07-03,14.23,14.46,14.14,14.36,1783700,14.36
2013-07-02,14.29,14.46,14.15,14.32,4504800,14.32
2013-07-01,14.25,14.43,14.18,14.28,4128100,14.28
2013-06-28,13.95,14.35,13.82,14.26,6015200,14.26
2013-06-27,13.81,14.22,13.80,14.04,4232900,14.04
2013-06-26,13.85,13.93,13.66,13.74,3665000,13.74
2013-06-25,13.55,13.84,13.50,13.78,5666900,13.78
2013-06-24,13.50,13.56,13.27,13.49,7879800,13.49
2013-06-21,13.99,13.99,13.53,13.55,17433200,13.55
2013-06-20,14.14,14.19,13.80,13.88,8925800,13.88
2013-06-19,14.56,14.65,14.21,14.23,9703100,14.23
2013-06-18,14.69,14.82,14.54,14.59,9396800,14.59
2013-06-17,14.69,14.84,14.56,14.73,7018300,14.73
2013-06-14,14.52,14.69,14.40,14.56,4050100,14.56
2013-06-13,14.18,14.53,14.10,14.51,6799300,14.51
2013-06-12,14.33,14.42,14.13,14.18,6347300,14.18
2013-06-11,14.38,14.48,14.16,14.20,7120700,14.20
2013-06-10,14.75,14.77,14.51,14.55,3803600,14.55
2013-06-07,14.67,14.85,14.57,14.73,5095900,14.73
2013-06-06,14.35,14.65,14.25,14.62,7995900,14.62
2013-06-05,14.39,14.42,14.14,14.30,8248200,14.30
2013-06-04,14.61,14.65,14.24,14.39,8164700,14.39
2013-06-03,14.40,14.68,14.23,14.63,10573400,14.63
2013-05-31,14.99,15.03,14.25,14.43,19903700,14.43
2013-05-30,15.33,15.33,14.92,14.99,12734500,14.99
2013-05-29,15.68,15.68,15.16,15.28,9847000,15.28
2013-05-28,15.74,16.11,15.63,15.75,9942600,15.75
2013-05-24,15.39,15.63,15.30,15.61,4414200,15.61
2013-05-23,15.17,15.62,15.16,15.54,7932300,15.54
2013-05-22,15.61,15.70,15.17,15.29,7968700,15.29
2013-05-21,15.11,15.63,15.09,15.57,9318500,15.57
2013-05-20,14.93,15.46,14.93,15.18,6544100,15.18
2013-05-17,14.90,15.02,14.77,14.94,10834900,14.94
2013-05-16,14.90,15.18,14.85,14.86,12563000,14.86
2013-05-15,15.10,15.75,14.69,14.90,20363900,14.90
2013-05-14,14.66,15.20,14.66,15.14,10511500,15.14
2013-05-13,14.87,14.94,14.57,14.68,6814000,14.68
2013-05-10,14.48,14.97,14.43,14.95,10867100,14.95
2013-05-09,14.28,14.62,14.00,14.39,18959600,14.39
2013-05-08,15.01,15.40,15.00,15.26,8863300,15.26
2013-05-07,14.94,15.04,14.84,14.94,5050100,14.94
2013-05-06,15.21,15.33,14.84,14.88,6428900,14.88
2013-05-03,15.00,15.23,14.88,15.18,4865100,15.18
2013-05-02,14.75,14.94,14.66,14.85,3852700,14.85
2013-05-01,14.95,14.98,14.64,14.74,4524900,14.74
2013-04-30,14.97,15.02,14.82,14.96,7853100,14.96
2013-04-29,14.81,15.07,14.78,14.93,7122700,14.93
2013-04-26,14.75,14.86,14.67,14.82,5989900,14.82
2013-04-25,14.76,14.89,14.65,14.71,7780400,14.71
2013-04-24,14.58,14.85,14.58,14.70,5158700,14.70
2013-04-23,14.50,14.65,14.32,14.58,6436300,14.58
2013-04-22,14.34,14.53,14.19,14.48,3161400,14.48
2013-04-19,14.06,14.32,13.88,14.26,4864200,14.26
2013-04-18,14.26,14.27,14.03,14.12,4159200,14.12
2013-04-17,14.28,14.42,14.12,14.18,6337000,14.18
2013-04-16,14.34,14.51,14.32,14.43,8874200,14.43
2013-04-15,14.64,14.65,14.27,14.28,6302200,14.28
2013-04-12,14.77,14.79,14.59,14.66,3825900,14.66
2013-04-11,14.93,14.93,14.64,14.70,6068600,14.70
2013-04-10,14.66,15.00,14.63,14.88,4660300,14.88
2013-04-09,14.67,14.79,14.49,14.67,4697000,14.67
2013-04-08,14.43,14.68,14.39,14.66,3719400,14.66
2013-04-05,14.31,14.46,14.14,14.43,3453900,14.43
2013-04-04,14.58,14.58,14.27,14.52,3422500,14.52
2013-04-03,14.71,14.80,14.46,14.53,4101500,14.53
2013-04-02,14.64,14.80,14.44,14.73,5013400,14.73
2013-04-01,14.53,14.61,14.35,14.44,2651300,14.44
2013-03-28,14.41,14.58,14.30,14.57,3323900,14.57
2013-03-27,14.36,14.53,14.21,14.48,5114100,14.48
2013-03-26,14.36,14.51,14.23,14.46,3214300,14.46
2013-03-25,14.32,14.43,14.16,14.35,3784400,14.35
2013-03-22,14.14,14.42,14.07,14.34,8200200,14.34
2013-03-21,14.17,14.30,14.06,14.06,8257600,14.06
2013-03-20,14.19,14.30,14.03,14.22,9771700,14.22
2013-03-19,14.37,14.41,13.97,14.01,10076100,14.01
2013-03-18,14.36,14.54,14.20,14.37,7492300,14.37
2013-03-15,15.00,15.02,14.57,14.65,12516900,14.46
2013-03-14,15.08,15.08,14.86,15.03,4185200,14.84
2013-03-13,14.91,15.05,14.81,14.98,6656000,14.79
2013-03-12,14.80,14.88,14.69,14.86,5648500,14.67
2013-03-11,14.78,14.85,14.69,14.82,5364200,14.63
2013-03-08,14.95,14.95,14.67,14.84,4701300,14.65
2013-03-07,14.64,15.01,14.59,14.97,11065200,14.78
2013-03-06,14.60,14.82,14.55,14.65,8826000,14.46
2013-03-05,14.45,14.58,14.38,14.57,4901500,14.38
2013-03-04,14.30,14.48,14.22,14.37,3956600,14.18
2013-03-01,14.26,14.38,14.04,14.35,4564900,14.16
2013-02-28,14.27,14.54,14.25,14.30,7461400,14.11
2013-02-27,14.21,14.40,14.03,14.26,11665400,14.08
2013-02-26,14.32,14.41,14.08,14.18,11966800,14.00
2013-02-25,14.50,14.70,14.32,14.33,7976900,14.14
2013-02-22,14.31,14.56,14.23,14.51,8591700,14.32
2013-02-21,14.24,14.40,14.14,14.28,10725700,14.09
2013-02-20,14.56,14.62,14.20,14.24,13828500,14.06
2013-02-19,14.38,14.65,13.98,14.63,15248700,14.44
2013-02-15,14.06,14.52,14.00,14.37,13936900,14.18
2013-02-14,13.66,14.07,13.64,14.00,26297600,13.82
2013-02-13,13.51,13.74,13.40,13.73,18115400,13.55
2013-02-12,13.55,13.66,13.44,13.51,14440700,13.33
2013-02-11,13.21,13.85,13.19,13.57,26678000,13.39
2013-02-08,13.20,13.94,12.90,13.41,56017600,13.24
2013-02-07,11.92,12.06,11.82,12.06,12729000,11.90
2013-02-06,11.82,11.99,11.77,11.94,8053500,11.79
2013-02-05,11.58,11.90,11.45,11.85,11816800,11.70
2013-02-04,11.64,11.69,11.47,11.60,7193000,11.45
2013-02-01,11.41,11.65,11.41,11.65,5182100,11.50
2013-01-31,11.29,11.48,11.25,11.40,9048000,11.25
2013-01-30,11.42,11.48,11.27,11.31,5156900,11.16
2013-01-29,11.37,11.52,11.34,11.42,4203800,11.27
2013-01-28,11.49,11.58,11.31,11.40,4948700,11.25
2013-01-25,11.35,11.41,11.30,11.39,4060200,11.24
2013-01-24,11.39,11.48,11.28,11.35,4900000,11.20
2013-01-23,11.45,11.50,11.29,11.31,7628300,11.16
2013-01-22,11.42,11.57,11.34,11.40,3712900,11.25
2013-01-18,11.37,11.46,11.30,11.36,6944400,11.21
2013-01-17,11.48,11.54,11.41,11.42,3551300,11.27
2013-01-16,11.54,11.55,11.37,11.42,4809600,11.27
2013-01-15,11.44,11.60,11.43,11.57,4764400,11.42
2013-01-14,11.50,11.59,11.41,11.50,7227900,11.35
2013-01-11,10.85,11.52,10.80,11.52,21329000,11.37
2013-01-10,10.99,11.02,10.85,10.93,4141500,10.79
2013-01-09,11.04,11.05,10.90,10.94,3489300,10.80
2013-01-08,11.10,11.16,10.96,10.99,6141800,10.85
2013-01-07,11.15,11.25,11.05,11.18,3655900,11.04
2013-01-04,11.03,11.21,10.99,11.17,4070700,11.03
2013-01-03,10.89,11.01,10.88,11.01,7201700,10.87
2013-01-02,10.85,10.95,10.75,10.95,6091900,10.81
