Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,9.43,9.58,9.37,9.50,7373100,9.50
2013-11-13,9.34,9.45,9.21,9.30,4951400,9.30
2013-11-12,9.33,9.46,9.21,9.26,6247100,9.26
2013-11-11,9.25,9.44,9.14,9.43,5206300,9.43
2013-11-08,9.25,9.36,9.07,9.34,8911600,9.34
2013-11-07,9.56,9.65,9.37,9.39,6358300,9.39
2013-11-06,9.71,9.82,9.66,9.71,4622000,9.71
2013-11-05,9.73,9.77,9.47,9.58,5891900,9.58
2013-11-04,9.42,9.80,9.41,9.80,7172700,9.80
2013-11-01,9.80,9.82,9.28,9.33,10234000,9.33
2013-10-31,9.93,10.10,9.83,9.93,7678900,9.93
2013-10-30,9.99,10.30,9.73,10.21,11325800,10.21
2013-10-29,10.22,10.22,9.73,9.75,7979000,9.75
2013-10-28,10.33,10.43,10.14,10.22,5325800,10.22
2013-10-25,10.15,10.34,9.99,10.26,6570400,10.26
2013-10-24,10.08,10.27,10.05,10.19,9464600,10.19
2013-10-23,10.03,10.20,9.83,9.87,8103100,9.87
2013-10-22,9.86,10.17,9.77,10.13,8735000,10.13
2013-10-21,9.47,9.69,9.45,9.67,5482700,9.67
2013-10-18,9.54,9.62,9.34,9.37,5299700,9.37
2013-10-17,9.67,9.72,9.52,9.56,9156000,9.56
2013-10-16,9.44,9.44,9.20,9.31,5620200,9.31
2013-10-15,9.00,9.49,9.00,9.48,7159200,9.48
2013-10-14,9.29,9.35,9.07,9.13,5861400,9.13
2013-10-11,9.34,9.34,9.13,9.18,7951200,9.18
2013-10-10,9.75,9.75,9.40,9.46,7443400,9.46
2013-10-09,9.57,9.87,9.30,9.75,7283100,9.75
2013-10-08,9.97,10.04,9.56,9.63,5411300,9.63
2013-10-07,9.82,9.98,9.80,9.95,4726400,9.95
2013-10-04,9.89,9.95,9.72,9.75,6664000,9.75
2013-10-03,10.04,10.18,9.83,9.84,7675900,9.84
2013-10-02,10.18,10.40,10.02,10.05,9349600,10.05
2013-10-01,10.09,10.24,10.03,10.08,6732500,10.08
2013-09-30,10.28,10.56,10.18,10.40,5592800,10.40
2013-09-27,10.46,10.64,10.30,10.37,5897900,10.37
2013-09-26,10.58,10.73,10.23,10.34,5227600,10.34
2013-09-25,10.46,10.87,10.44,10.68,6270200,10.62
2013-09-24,10.30,10.52,10.06,10.36,7123800,10.30
2013-09-23,10.56,10.80,10.35,10.37,7960900,10.31
2013-09-20,11.20,11.21,10.54,10.56,14074900,10.50
2013-09-19,11.72,11.75,11.21,11.33,8521000,11.26
2013-09-18,10.58,11.75,10.46,11.61,12632000,11.54
2013-09-17,10.46,10.70,10.29,10.67,4785400,10.61
2013-09-16,10.65,10.68,10.32,10.35,6810800,10.29
2013-09-13,10.21,10.51,10.16,10.48,6562800,10.42
2013-09-12,10.37,10.46,10.20,10.24,7501100,10.18
2013-09-11,10.56,10.75,10.34,10.73,7189000,10.66
2013-09-10,10.88,10.88,10.51,10.60,9017800,10.54
2013-09-09,11.28,11.35,11.03,11.11,4531300,11.04
2013-09-06,11.25,11.39,11.16,11.25,7156200,11.18
2013-09-05,11.40,11.43,10.94,11.02,6746500,10.95
2013-09-04,11.27,11.51,11.20,11.51,5166300,11.44
2013-09-03,11.54,11.70,11.38,11.50,7084900,11.43
2013-08-30,11.24,11.59,11.14,11.38,5980900,11.31
2013-08-29,11.12,11.67,10.92,11.51,10384800,11.44
2013-08-28,11.61,11.92,11.18,11.27,9778800,11.20
2013-08-27,12.43,12.52,11.49,11.52,11592700,11.45
2013-08-26,12.09,12.26,11.82,12.06,7150500,11.99
2013-08-23,11.69,12.13,11.65,11.98,10343500,11.91
2013-08-22,11.47,11.77,11.46,11.62,6099100,11.55
2013-08-21,11.55,11.69,11.28,11.29,9537600,11.22
2013-08-20,11.32,11.80,11.25,11.68,7758000,11.61
2013-08-19,11.33,11.54,11.10,11.33,9738600,11.26
2013-08-16,11.58,11.72,11.08,11.26,10940000,11.19
2013-08-15,10.65,11.49,10.62,11.47,15461500,11.40
2013-08-14,10.46,10.87,10.42,10.82,9133600,10.75
2013-08-13,10.47,10.66,10.25,10.35,7540300,10.29
2013-08-12,10.29,10.57,10.24,10.53,9428400,10.47
2013-08-09,9.71,10.02,9.49,9.81,8574200,9.75
2013-08-08,9.10,9.78,9.08,9.74,10834800,9.68
2013-08-07,8.91,9.18,8.91,8.93,7450200,8.88
2013-08-06,9.49,9.49,8.95,8.97,13155900,8.92
2013-08-05,9.63,9.88,9.61,9.67,6140900,9.61
2013-08-02,9.65,9.93,9.58,9.60,9850800,9.54
2013-08-01,10.27,10.28,9.64,9.67,15229400,9.61
2013-07-31,10.63,10.88,10.30,10.50,10916500,10.44
2013-07-30,10.65,10.85,10.52,10.59,5767400,10.53
2013-07-29,10.89,10.90,10.59,10.65,6233100,10.59
2013-07-26,10.64,10.88,10.52,10.86,6896500,10.79
2013-07-25,10.77,11.05,10.70,10.79,8627700,10.72
