Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,93.90,95.05,93.79,95.05,1913600,95.05
2013-11-13,93.20,93.42,92.39,93.03,1608700,93.03
2013-11-12,93.53,93.82,93.03,93.47,1492800,93.47
2013-11-11,94.00,94.30,93.58,93.60,1172800,93.60
2013-11-08,92.77,93.87,92.55,93.80,1807100,93.80
2013-11-07,93.49,94.66,92.57,93.39,2032800,93.39
2013-11-06,92.95,94.38,92.81,93.87,1911600,93.87
2013-11-05,92.75,93.33,92.15,92.71,1921200,92.71
2013-11-04,91.66,92.97,91.58,92.56,1510400,92.56
2013-11-01,91.50,91.65,90.85,91.15,1078500,91.15
2013-10-31,92.51,93.28,90.71,91.54,3117400,91.54
2013-10-30,92.40,92.67,91.90,92.52,1642200,92.52
2013-10-29,91.40,92.47,91.39,92.30,1814000,92.30
2013-10-28,91.61,91.76,91.20,91.39,1031200,91.39
2013-10-25,90.20,91.48,90.20,91.20,1533100,91.20
2013-10-24,91.68,91.68,90.39,90.62,1617000,90.62
2013-10-23,90.04,91.45,89.98,91.22,1886500,91.22
2013-10-22,88.96,90.84,88.80,90.39,2552500,90.39
2013-10-21,90.04,90.04,88.50,89.30,1841700,89.30
2013-10-18,89.96,90.65,89.68,90.49,5376900,90.49
2013-10-17,89.47,89.79,88.98,89.41,1346100,89.41
2013-10-16,88.03,89.61,87.93,89.47,1738000,89.47
2013-10-15,87.30,88.50,87.24,88.14,2042200,88.14
2013-10-14,86.80,87.05,86.25,86.97,1407800,86.97
2013-10-11,86.21,87.24,85.57,87.24,1647300,87.24
2013-10-10,84.60,86.03,84.28,85.64,1696600,85.64
2013-10-09,84.00,84.95,83.72,84.11,1796500,84.11
2013-10-08,85.10,85.98,84.31,84.32,1741800,84.32
2013-10-07,85.67,85.68,84.59,84.86,1840700,84.86
2013-10-04,86.11,86.25,85.18,86.10,1551800,86.10
2013-10-03,86.46,87.10,86.26,86.26,930100,86.26
2013-10-02,87.54,87.54,85.93,86.48,1527200,86.48
2013-10-01,87.48,87.99,87.04,87.73,1810400,87.73
2013-09-30,86.58,87.63,86.56,87.16,1791300,87.16
2013-09-27,87.00,87.97,86.48,87.49,1608000,87.49
2013-09-26,87.20,87.30,86.00,86.87,1479500,86.87
2013-09-25,86.27,86.60,85.51,86.54,1531300,86.54
2013-09-24,86.45,87.08,86.05,86.47,1357000,86.47
2013-09-23,87.85,87.95,85.82,86.24,2183900,86.24
2013-09-20,86.63,88.17,86.52,87.68,6533800,87.68
2013-09-19,86.50,86.89,85.91,86.61,2312400,86.61
2013-09-18,84.95,85.42,84.65,85.22,1401500,85.22
2013-09-17,84.80,85.79,84.80,84.83,1880300,84.83
2013-09-16,84.67,85.56,84.18,85.17,2014500,85.17
2013-09-13,82.31,84.38,82.27,83.68,1850300,83.68
2013-09-12,84.64,84.79,83.35,83.44,1611800,83.44
2013-09-11,83.84,84.67,83.75,84.32,1650700,84.32
2013-09-10,82.77,83.78,82.20,83.50,2675000,83.50
2013-09-09,83.03,83.21,81.82,82.01,2088000,82.01
2013-09-06,83.96,84.39,82.16,83.46,2423600,83.46
2013-09-05,84.85,85.01,83.55,84.19,1888300,84.19
2013-09-04,84.99,85.21,83.91,84.92,1288800,84.92
2013-09-03,86.11,86.25,84.59,84.82,1680700,84.82
2013-09-02,85.03,85.87,84.79,85.64,1356600,85.64
2013-08-30,85.24,85.40,84.04,84.04,1993400,84.04
2013-08-29,85.19,85.67,84.50,85.48,1173800,85.48
2013-08-28,86.25,86.42,84.50,85.04,1897100,85.04
2013-08-27,87.82,88.43,86.27,86.36,2532800,86.36
2013-08-26,88.17,88.72,87.98,88.51,463300,88.51
2013-08-23,88.31,88.40,87.24,88.15,1244000,88.15
2013-08-22,87.23,88.64,86.79,88.41,1603900,88.41
2013-08-21,87.65,87.90,86.75,87.18,958400,87.18
2013-08-20,86.91,88.23,86.47,87.51,2185400,87.51
2013-08-19,86.85,87.56,86.18,87.25,1262600,87.25
2013-08-16,87.44,87.44,86.05,86.62,1774200,86.62
2013-08-15,87.03,87.03,85.66,86.66,1312500,86.66
2013-08-14,86.95,87.32,86.60,87.00,981700,87.00
2013-08-13,87.05,87.68,86.46,86.65,1606900,86.65
2013-08-12,86.97,87.15,85.81,86.82,1173800,86.82
2013-08-09,87.17,87.74,86.82,86.96,1433500,86.96
2013-08-08,87.09,87.81,86.59,87.20,1645400,87.20
2013-08-07,88.01,88.64,86.93,87.26,2051500,87.26
