Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,82.00,82.31,81.42,81.60,1212600,81.60
2013-11-13,81.37,81.38,79.92,80.96,1391900,80.96
2013-11-12,82.03,82.43,81.30,81.54,1275300,81.54
2013-11-11,82.00,82.20,81.79,82.07,759300,82.07
2013-11-08,81.41,82.14,80.43,81.77,1915200,81.77
2013-11-07,82.15,83.67,81.57,81.82,2408800,81.82
2013-11-06,81.71,82.63,81.00,82.16,1471200,82.16
2013-11-05,81.26,81.99,79.56,81.20,4387200,81.20
2013-11-04,83.15,83.61,82.55,83.60,1149300,83.60
2013-11-01,83.36,83.60,82.44,82.68,1064800,82.68
2013-10-31,82.27,83.74,81.95,83.54,1819600,83.54
2013-10-30,82.60,83.55,82.31,82.69,1344600,82.69
2013-10-29,82.05,83.08,81.38,82.21,1308100,82.21
2013-10-28,84.03,84.05,81.73,82.39,1436400,82.39
2013-10-25,83.28,83.94,82.90,83.66,1532000,83.66
2013-10-24,82.57,83.72,82.42,83.56,1693500,83.56
2013-10-23,81.69,82.39,81.36,82.00,1194300,82.00
2013-10-22,81.16,82.37,80.72,81.85,2065300,81.85
2013-10-21,82.35,82.49,81.11,82.10,970100,82.10
2013-10-18,82.21,82.39,81.51,82.03,2610200,82.03
2013-10-17,82.20,82.71,81.00,81.94,1440700,81.94
2013-10-16,82.73,82.82,81.67,82.20,1964100,82.20
2013-10-15,81.33,83.30,81.22,82.95,2004200,82.95
2013-10-14,80.30,80.65,80.07,80.63,582400,80.63
2013-10-11,80.84,80.94,80.09,80.74,812100,80.74
2013-10-10,79.27,80.91,79.07,80.38,1299200,80.38
2013-10-09,78.39,79.35,78.23,78.80,995200,78.80
2013-10-08,79.17,79.39,78.53,78.62,775000,78.62
2013-10-07,79.51,79.51,78.25,79.17,970400,79.17
2013-10-04,79.55,79.85,78.75,79.68,972000,79.68
2013-10-03,79.45,79.91,79.29,79.56,689100,79.56
2013-10-02,80.79,80.79,78.68,79.30,1540400,79.30
2013-10-01,79.97,81.32,79.75,80.91,1270800,80.91
2013-09-30,79.38,80.02,78.80,79.47,1008900,79.47
2013-09-27,80.03,80.32,79.38,80.10,899200,80.10
2013-09-26,80.53,80.70,79.47,79.72,1150700,79.72
2013-09-25,80.95,81.11,79.63,80.37,1046900,80.37
2013-09-24,80.57,81.53,80.46,80.80,1267000,80.80
2013-09-23,80.79,81.41,80.13,80.31,1202600,80.31
2013-09-20,81.50,81.78,79.87,80.47,3373700,80.47
2013-09-19,81.44,82.44,80.68,81.44,2465800,81.44
2013-09-18,80.50,80.52,79.66,80.05,1150400,80.05
2013-09-17,80.55,80.66,79.23,80.18,1388000,80.18
2013-09-16,80.98,81.05,80.08,80.58,1093400,80.58
2013-09-13,79.47,79.90,79.25,79.90,944500,79.90
2013-09-12,80.00,80.04,79.04,79.55,1293600,79.55
2013-09-11,79.35,80.06,79.17,80.00,1338800,80.00
2013-09-10,79.00,79.96,78.85,79.14,1817400,79.14
2013-09-09,77.80,78.69,77.55,78.17,1659800,78.17
2013-09-06,77.07,77.89,76.15,77.70,2179900,77.70
2013-09-05,74.35,77.13,74.08,76.97,4185000,76.97
2013-09-04,72.23,72.59,70.89,72.59,1088600,72.59
2013-09-03,72.93,73.12,71.67,72.23,923600,72.23
2013-09-02,72.33,72.90,72.33,72.76,865100,72.76
2013-08-30,72.43,72.45,71.08,71.29,1419100,71.29
2013-08-29,72.15,72.77,71.74,72.41,905000,72.41
2013-08-28,72.40,72.71,70.57,71.75,1617900,71.75
2013-08-27,74.90,75.33,72.97,73.00,1693800,73.00
2013-08-26,75.70,75.72,74.98,75.42,490100,75.42
2013-08-23,75.37,75.72,74.55,75.40,905200,75.40
2013-08-22,73.70,75.46,73.66,75.18,1171900,75.18
2013-08-21,74.00,74.26,73.69,73.70,809600,73.70
2013-08-20,74.47,74.54,73.31,74.05,1266400,74.05
2013-08-19,75.52,75.75,74.88,75.03,1437100,75.03
2013-08-16,74.25,75.70,74.06,75.53,1884100,75.53
2013-08-15,74.38,74.57,73.66,74.36,878100,74.36
2013-08-14,74.22,74.68,74.00,74.40,1025400,74.40
2013-08-13,73.44,74.17,73.25,73.97,1191400,73.97
2013-08-12,72.55,73.40,71.13,73.16,1236700,73.16
2013-08-09,71.99,72.83,71.80,72.30,1038700,72.30
2013-08-08,70.72,71.99,70.21,71.68,1351300,71.68
2013-08-07,71.04,71.09,70.08,70.64,1236700,70.64
2013-08-06,72.19,72.51,71.04,71.37,1476200,71.37
2013-08-05,72.75,72.91,71.95,72.18,1184400,72.18
2013-08-02,73.30,73.50,72.07,72.48,1348000,72.48
2013-08-01,73.46,73.55,71.31,73.01,2712000,73.01
2013-07-31,74.28,74.58,72.95,73.59,1712400,73.59
