Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,46.13,46.50,46.04,46.45,4595600,46.45
2013-11-12,46.08,46.25,45.81,45.91,3929300,45.91
2013-11-11,46.09,46.22,46.00,46.08,2499500,46.08
2013-11-08,45.78,46.12,45.72,46.09,4848700,46.09
2013-11-07,46.70,46.71,45.99,46.10,6144600,46.10
2013-11-06,46.99,47.00,46.60,46.82,9073800,46.82
2013-11-05,46.88,47.06,46.59,46.99,6375300,46.42
2013-11-04,46.72,46.99,46.67,46.93,6854300,46.36
2013-11-01,46.47,46.61,46.12,46.55,7423900,45.99
2013-10-31,46.46,46.65,46.22,46.50,19298700,45.94
2013-10-30,46.42,46.61,46.09,46.29,8987300,45.73
2013-10-29,45.56,46.00,45.20,45.90,20455200,45.34
2013-10-28,43.69,43.82,43.47,43.72,4722700,43.19
2013-10-25,43.97,43.99,43.54,43.66,6290600,43.13
2013-10-24,43.75,43.76,43.49,43.58,6862300,43.05
2013-10-23,43.49,43.61,43.26,43.39,5398500,42.86
2013-10-22,43.55,43.68,43.50,43.60,4227600,43.07
2013-10-21,43.42,43.60,43.32,43.57,4066700,43.04
2013-10-18,43.23,43.40,43.12,43.33,6312300,42.80
2013-10-17,42.85,43.00,42.79,43.00,6041600,42.48
2013-10-16,42.79,42.81,42.43,42.57,4636800,42.05
2013-10-15,42.55,42.61,42.37,42.50,5461500,41.98
2013-10-14,42.38,42.65,42.30,42.60,6644800,42.08
2013-10-11,41.97,42.29,41.94,42.15,5335300,41.64
2013-10-10,41.63,41.97,41.62,41.90,3682300,41.39
2013-10-09,41.66,41.71,41.30,41.54,4538200,41.04
2013-10-08,41.95,42.04,41.70,41.71,4279900,41.20
2013-10-07,42.09,42.38,42.03,42.11,3578400,41.60
2013-10-04,42.27,42.40,42.18,42.28,3575100,41.77
2013-10-03,42.75,42.80,42.32,42.39,10632600,41.88
2013-10-02,41.89,42.18,41.81,42.11,3218000,41.60
2013-10-01,41.95,42.07,41.79,41.85,3864500,41.34
2013-09-30,42.11,42.27,41.82,42.03,6252500,41.52
2013-09-27,42.56,42.80,42.48,42.80,3980000,42.28
2013-09-26,42.53,42.80,42.50,42.66,9691000,42.14
2013-09-25,42.25,42.53,42.22,42.39,3235900,41.88
2013-09-24,42.38,42.47,42.21,42.28,2838200,41.77
2013-09-23,42.46,42.51,42.16,42.27,2936500,41.76
2013-09-20,42.85,42.86,42.40,42.46,6690800,41.94
2013-09-19,42.39,42.43,42.20,42.33,3905700,41.82
2013-09-18,42.02,42.54,41.78,42.42,5255700,41.91
2013-09-17,42.04,42.18,41.95,42.02,2313300,41.51
2013-09-16,42.58,42.60,42.10,42.12,4303600,41.61
2013-09-13,42.00,42.13,41.88,41.94,3611900,41.43
2013-09-12,42.31,42.42,42.05,42.10,4721600,41.59
2013-09-11,42.06,42.34,42.05,42.29,5092100,41.78
2013-09-10,41.86,42.04,41.77,42.02,2818200,41.51
2013-09-09,41.83,41.99,41.77,41.89,2436500,41.38
2013-09-06,41.74,41.92,41.50,41.82,3407200,41.31
2013-09-05,41.39,41.71,41.38,41.55,2334100,41.05
2013-09-04,41.30,41.60,41.28,41.41,2717800,40.91
2013-09-03,41.39,41.45,41.08,41.33,3715600,40.83
2013-08-30,41.49,41.53,41.25,41.30,3403700,40.80
2013-08-29,41.83,41.91,41.58,41.64,3688000,41.13
2013-08-28,41.97,42.22,41.84,42.12,5342800,41.61
2013-08-27,41.36,41.78,41.34,41.47,3385000,40.97
2013-08-26,41.54,41.55,41.29,41.36,2703500,40.86
2013-08-23,41.16,41.54,41.11,41.51,4139600,41.01
2013-08-22,40.82,40.99,40.75,40.91,2808300,40.41
2013-08-21,40.84,40.89,40.51,40.53,4296800,40.04
2013-08-20,41.02,41.13,40.90,40.90,4354200,40.40
2013-08-19,41.29,41.35,41.05,41.10,3633800,40.60
2013-08-16,41.32,41.41,41.19,41.32,3621000,40.82
2013-08-15,41.10,41.47,41.01,41.27,4346600,40.77
2013-08-14,41.64,41.71,41.33,41.34,6215500,40.84
2013-08-13,41.26,41.43,41.05,41.39,4416900,40.89
2013-08-12,41.25,41.31,41.03,41.08,3665300,40.58
2013-08-09,41.34,41.48,41.23,41.27,3004900,40.77
2013-08-08,41.36,41.45,41.11,41.28,3376500,40.78
2013-08-07,41.47,41.65,41.23,41.23,5313900,40.73
2013-08-06,41.91,41.96,41.72,41.84,5149400,40.80
2013-08-05,41.91,42.04,41.81,41.97,5042400,40.93
2013-08-02,41.82,41.94,41.66,41.93,4654600,40.89
2013-08-01,41.57,41.83,41.51,41.72,6300000,40.68
2013-07-31,41.64,41.75,41.37,41.44,7895200,40.41
2013-07-30,41.65,41.83,41.26,41.74,15013400,40.70
2013-07-29,43.38,43.41,42.96,43.12,4147800,42.05
2013-07-26,43.61,43.68,43.34,43.58,3247900,42.50
2013-07-25,43.46,43.73,43.41,43.69,2757500,42.60
2013-07-24,43.74,43.75,43.35,43.44,3815100,42.36
2013-07-23,43.55,43.64,43.34,43.55,4179600,42.47
2013-07-22,43.08,43.38,43.06,43.20,5127000,42.13
2013-07-19,42.90,43.09,42.80,43.01,5239700,41.94
2013-07-18,42.88,43.01,42.63,42.71,6091000,41.65
2013-07-17,42.57,42.70,42.44,42.55,3015600,41.49
2013-07-16,42.36,42.54,42.15,42.54,4715200,41.48
2013-07-15,42.21,42.38,42.12,42.14,4941200,41.09
2013-07-12,42.29,42.35,42.14,42.19,4995300,41.14
2013-07-11,42.47,42.56,42.23,42.54,7476700,41.48
2013-07-10,41.95,42.27,41.88,42.12,7862600,41.07
2013-07-09,41.45,41.80,41.35,41.65,7073100,40.61
2013-07-08,41.28,41.47,41.18,41.28,8651700,40.25
2013-07-05,40.88,41.19,40.68,41.17,6694800,40.15
2013-07-03,41.05,41.31,40.96,41.18,4303900,40.16
2013-07-02,41.50,41.67,41.24,41.38,10322800,40.35
2013-07-01,41.98,42.04,41.63,41.64,5910500,40.60
2013-06-28,41.59,41.89,41.56,41.74,4050100,40.70
2013-06-27,41.59,41.98,41.59,41.78,5059500,40.74
2013-06-26,41.95,42.00,41.55,41.83,2395700,40.79
2013-06-25,41.99,42.04,41.47,41.68,3809600,40.64
2013-06-24,41.27,41.89,41.16,41.52,7039200,40.49
2013-06-21,41.55,41.85,41.22,41.72,8599000,40.68
2013-06-20,42.02,42.10,41.50,41.68,9419400,40.64
2013-06-19,42.95,43.05,42.47,42.60,6510000,41.54
2013-06-18,43.16,43.37,43.16,43.29,2612600,42.21
2013-06-17,43.20,43.41,43.15,43.26,4372900,42.18
2013-06-14,42.89,43.17,42.74,42.84,3276400,41.77
2013-06-13,42.66,43.17,42.64,43.09,3933100,42.02
2013-06-12,43.34,43.37,42.66,42.77,4029600,41.71
2013-06-11,42.73,43.25,42.69,43.09,4107000,42.02
2013-06-10,43.06,43.45,42.97,43.28,4554400,42.20
2013-06-07,43.01,43.15,42.76,42.95,5309000,41.88
2013-06-06,42.94,43.16,42.71,43.15,4507100,42.08
2013-06-05,43.04,43.20,42.82,42.87,4252000,41.80
2013-06-04,43.26,43.38,43.04,43.24,3864900,42.16
2013-06-03,43.08,43.47,43.00,43.42,3997700,42.34
2013-05-31,43.39,43.44,42.90,42.91,5564400,41.84
2013-05-30,43.75,43.78,43.48,43.67,3447400,42.58
2013-05-29,43.48,43.81,43.40,43.65,3801600,42.56
2013-05-28,43.94,43.98,43.56,43.60,3712000,42.52
2013-05-24,43.38,43.54,43.25,43.52,5270100,42.44
2013-05-23,43.23,43.74,42.96,43.73,5616500,42.64
2013-05-22,43.76,44.03,43.21,43.28,4966500,42.20
2013-05-21,43.17,43.79,43.17,43.56,4799900,42.48
2013-05-20,43.02,43.59,43.00,43.40,6092700,42.32
2013-05-17,42.82,43.00,42.75,42.96,3717400,41.89
2013-05-16,42.70,42.97,42.63,42.75,5290100,41.69
2013-05-15,42.88,43.06,42.75,42.98,4495400,41.91
2013-05-14,42.96,43.18,42.90,43.11,4544100,42.04
2013-05-13,43.04,43.11,42.81,43.02,4457700,41.95
2013-05-10,43.16,43.22,42.85,43.18,4287000,42.11
2013-05-09,43.37,43.59,43.23,43.27,5412700,42.19
2013-05-08,43.41,43.77,43.38,43.64,5211600,42.55
2013-05-07,44.03,44.27,43.86,44.07,5799300,42.45
2013-05-06,44.08,44.15,43.86,43.97,3944800,42.35
2013-05-03,44.03,44.25,43.95,43.96,6704600,42.34
2013-05-02,43.47,43.65,43.31,43.53,5572900,41.93
2013-05-01,43.77,43.82,43.24,43.32,6551700,41.72
2013-04-30,43.68,43.73,43.31,43.60,10317800,41.99
2013-04-29,42.22,42.81,42.21,42.63,6149400,41.06
2013-04-26,42.03,42.33,41.91,42.20,4258900,40.65
2013-04-25,42.44,42.77,42.24,42.28,5946800,40.72
2013-04-24,41.89,42.23,41.87,42.08,5182900,40.53
2013-04-23,41.25,41.64,41.21,41.62,6616300,40.09
2013-04-22,40.92,41.25,40.77,41.15,7089400,39.63
2013-04-19,41.06,41.14,40.89,40.99,8759100,39.48
2013-04-18,40.42,41.29,40.12,41.09,9904100,39.58
2013-04-17,40.67,40.70,40.20,40.23,11339000,38.75
2013-04-16,41.24,41.38,41.00,41.15,6198300,39.63
2013-04-15,40.99,41.29,40.92,40.96,9322000,39.45
2013-04-12,41.57,41.65,41.14,41.57,4363600,40.04
2013-04-11,41.69,41.96,41.57,41.78,4664500,40.24
2013-04-10,41.88,41.95,41.39,41.57,6297500,40.04
2013-04-09,41.35,41.92,41.26,41.75,4952800,40.21
2013-04-08,41.24,41.34,41.06,41.22,4658900,39.70
2013-04-05,41.05,41.52,41.00,41.52,4315200,39.99
2013-04-04,41.45,41.61,41.18,41.28,5969600,39.76
2013-04-03,42.23,42.30,41.79,41.90,6106500,40.36
2013-04-02,42.20,42.23,42.05,42.14,7017900,40.59
2013-04-01,42.35,42.40,41.83,42.01,4187600,40.46
2013-03-28,42.32,42.41,41.85,42.35,5663600,40.79
2013-03-27,41.89,42.31,41.72,42.26,4510900,40.70
2013-03-26,42.01,42.36,42.01,42.32,6183700,40.76
2013-03-25,42.10,42.15,41.86,41.96,5729800,40.41
2013-03-22,42.02,42.15,41.68,42.00,9882200,40.45
2013-03-21,40.66,41.15,40.61,40.89,5876600,39.38
2013-03-20,40.98,41.04,40.68,40.82,4940000,39.32
2013-03-19,41.02,41.02,40.69,41.00,5117900,39.49
2013-03-18,40.76,40.96,40.52,40.66,4700900,39.16
2013-03-15,40.60,41.08,40.51,41.08,7939100,39.57
2013-03-14,40.29,41.03,40.26,41.00,5504600,39.49
2013-03-13,40.20,40.36,40.10,40.19,5965100,38.71
2013-03-12,40.58,40.70,40.36,40.41,5529100,38.92
2013-03-11,40.53,40.65,40.37,40.60,6548200,39.10
2013-03-08,40.55,40.58,40.36,40.39,7527700,38.90
2013-03-07,40.69,40.79,40.62,40.65,6124700,39.15
2013-03-06,40.69,40.83,40.60,40.71,8580000,39.21
2013-03-05,40.63,40.66,40.40,40.48,7181700,38.99
2013-03-04,40.43,40.45,40.01,40.29,6228400,38.81
2013-03-01,40.17,40.45,39.99,40.33,5920100,38.84
2013-02-28,40.67,40.73,40.40,40.40,7753100,38.91
2013-02-27,40.45,40.86,40.40,40.69,7960400,39.19
2013-02-26,40.59,40.76,40.30,40.59,7666600,39.10
2013-02-25,41.17,41.46,40.40,40.40,12364900,38.91
2013-02-22,40.75,42.19,40.56,41.83,16126900,40.29
2013-02-21,40.72,40.91,40.16,40.79,8618600,39.29
2013-02-20,41.36,41.42,40.79,40.80,12295100,39.30
2013-02-19,41.43,41.61,41.42,41.56,13086600,40.03
2013-02-15,41.84,42.06,41.84,41.95,13260200,40.41
2013-02-14,41.85,42.44,41.80,42.26,11199600,40.70
2013-02-13,42.70,42.83,42.36,42.45,8938200,40.89
2013-02-12,43.03,43.45,42.97,43.34,10207600,41.22
2013-02-11,42.96,43.10,42.55,43.01,8790000,40.91
2013-02-08,42.96,43.50,42.96,43.17,8484200,41.06
2013-02-07,43.65,43.84,43.00,43.16,6262800,41.05
2013-02-06,43.58,44.00,43.50,43.99,9785000,41.84
2013-02-05,44.17,44.44,44.00,44.20,5448000,42.04
2013-02-04,43.88,44.13,43.50,43.61,6980700,41.48
2013-02-01,44.65,44.96,44.48,44.77,4387800,42.58
2013-01-31,44.86,45.00,44.38,44.52,4043500,42.35
2013-01-30,45.15,45.45,44.89,44.92,7245100,42.73
2013-01-29,44.57,45.26,44.50,45.21,6476700,43.00
2013-01-28,44.22,44.38,44.03,44.35,3756000,42.18
2013-01-25,44.10,44.32,43.86,43.93,6297800,41.78
2013-01-24,44.20,44.37,44.04,44.11,5456800,41.96
2013-01-23,43.98,44.27,43.95,44.27,5004300,42.11
2013-01-22,43.71,43.87,43.41,43.74,5402000,41.60
2013-01-18,44.03,44.17,43.93,44.04,4059200,41.89
2013-01-17,44.23,44.38,44.11,44.16,4876800,42.00
2013-01-16,44.05,44.33,43.98,44.08,5949400,41.93
2013-01-15,44.08,44.54,44.00,44.44,4589700,42.27
2013-01-14,44.33,44.52,44.28,44.34,5716100,42.17
2013-01-11,44.96,44.99,44.47,44.48,6852900,42.31
2013-01-10,44.47,45.06,44.40,45.01,9527400,42.81
2013-01-09,43.73,44.28,43.72,44.27,9273900,42.11
2013-01-08,43.31,43.42,43.25,43.40,3478100,41.28
2013-01-07,43.37,43.53,43.19,43.40,4865400,41.28
2013-01-04,43.43,43.84,43.42,43.66,7245700,41.53
2013-01-03,42.42,43.33,42.32,43.27,11976600,41.16
2013-01-02,42.45,42.49,42.05,42.42,5969700,40.35
