Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,22.17,22.45,21.90,22.26,414800,22.26
2013-11-12,22.56,22.93,22.25,22.45,302000,22.45
2013-11-11,22.94,23.15,22.58,22.69,196100,22.69
2013-11-08,23.54,23.54,22.96,23.06,333100,23.06
2013-11-07,23.98,23.98,23.53,23.63,242000,23.63
2013-11-06,23.88,24.37,23.88,24.10,192900,24.10
2013-11-05,23.80,24.20,23.79,23.86,110900,23.86
2013-11-04,24.54,24.54,24.17,24.19,101000,24.19
2013-11-01,24.45,24.65,24.13,24.37,156700,24.37
2013-10-31,25.04,25.09,24.56,24.56,172200,24.56
2013-10-30,24.45,24.88,24.43,24.78,115500,24.78
2013-10-29,24.48,24.62,24.28,24.51,183800,24.51
2013-10-28,24.68,24.98,24.15,24.45,219700,24.45
2013-10-25,23.88,25.68,23.88,24.70,359400,24.70
2013-10-24,25.80,26.43,25.55,25.59,244000,25.59
2013-10-23,25.83,26.08,25.53,25.78,772700,25.78
2013-10-22,25.96,26.22,25.96,26.17,392700,26.17
2013-10-21,25.67,25.99,25.33,25.95,314300,25.95
2013-10-18,25.61,25.88,24.74,25.68,272100,25.68
2013-10-17,25.73,26.13,25.31,25.61,489900,25.61
2013-10-16,26.10,27.09,25.55,25.78,508300,25.78
2013-10-15,26.05,26.08,25.75,25.83,324400,25.83
2013-10-14,25.80,26.11,25.41,26.09,149100,26.09
2013-10-11,25.88,26.09,25.65,26.00,130100,26.00
2013-10-10,25.56,25.96,25.35,25.89,374600,25.89
2013-10-09,25.60,25.79,25.19,25.21,283900,25.21
2013-10-08,25.84,26.05,25.59,25.61,265200,25.61
2013-10-07,25.81,26.17,25.79,25.88,284100,25.88
2013-10-04,26.01,26.27,25.88,25.94,426200,25.94
2013-10-03,26.05,26.45,25.53,25.91,466000,25.91
2013-10-02,26.10,26.28,25.78,25.98,282400,25.98
2013-10-01,26.29,26.52,26.11,26.20,691400,26.20
2013-09-30,26.04,26.32,26.03,26.29,504200,26.29
2013-09-27,26.53,26.69,26.25,26.33,849300,26.33
2013-09-26,26.71,27.04,26.51,26.79,361500,26.79
2013-09-25,26.26,26.38,26.17,26.25,738200,26.25
2013-09-24,26.40,26.59,26.30,26.40,845700,26.40
2013-09-23,25.72,26.73,25.69,26.48,630500,26.48
2013-09-20,26.29,26.29,25.70,25.74,131000,25.74
2013-09-19,26.24,26.71,26.19,26.36,438400,26.36
2013-09-18,25.24,26.54,25.00,26.24,956400,26.24
2013-09-17,25.49,25.63,24.93,25.18,288800,25.18
2013-09-16,25.28,25.39,25.04,25.19,184200,25.19
2013-09-13,25.17,25.25,24.77,24.83,336400,24.83
2013-09-12,25.78,25.83,25.27,25.27,208800,25.27
2013-09-11,25.87,25.88,25.60,25.81,202500,25.81
2013-09-10,25.39,25.88,25.21,25.80,345000,25.80
2013-09-09,24.88,25.46,24.74,25.25,307000,25.25
