Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,3.25,3.40,3.25,3.39,195300,3.39
2013-11-12,3.23,3.29,3.22,3.28,138900,3.28
2013-11-11,3.28,3.29,3.24,3.25,125900,3.25
2013-11-08,3.22,3.32,3.21,3.28,200100,3.28
2013-11-07,3.24,3.31,3.21,3.22,235600,3.22
2013-11-06,3.23,3.25,3.18,3.23,180300,3.23
2013-11-05,3.18,3.24,3.11,3.21,353900,3.21
2013-11-04,3.18,3.25,3.16,3.19,457100,3.19
2013-11-01,3.23,3.27,3.11,3.18,451100,3.18
2013-10-31,3.14,3.32,3.14,3.25,871600,3.25
2013-10-30,3.22,3.27,3.15,3.15,381300,3.15
2013-10-29,3.27,3.34,3.17,3.25,318800,3.25
2013-10-28,3.32,3.38,3.27,3.36,224600,3.36
2013-10-25,3.36,3.36,3.25,3.32,231800,3.32
2013-10-24,3.32,3.34,3.28,3.34,246300,3.34
2013-10-23,3.27,3.34,3.26,3.32,163400,3.32
2013-10-22,3.33,3.33,3.25,3.30,182400,3.30
2013-10-21,3.31,3.32,3.25,3.32,270500,3.32
2013-10-18,3.29,3.34,3.20,3.31,499500,3.31
2013-10-17,3.29,3.33,3.23,3.25,426400,3.25
2013-10-16,3.30,3.34,3.25,3.32,225500,3.32
2013-10-15,3.27,3.32,3.25,3.28,200800,3.28
2013-10-14,3.20,3.28,3.20,3.27,199800,3.27
2013-10-11,3.11,3.25,3.11,3.23,630000,3.23
2013-10-10,3.14,3.20,3.10,3.14,410200,3.14
2013-10-09,3.10,3.17,3.08,3.08,460200,3.08
2013-10-08,3.15,3.18,3.10,3.10,188800,3.10
2013-10-07,3.16,3.19,3.13,3.15,171000,3.15
2013-10-04,3.13,3.23,3.11,3.21,133900,3.21
2013-10-03,3.27,3.31,3.12,3.13,232800,3.13
2013-10-02,3.37,3.39,3.28,3.29,232300,3.29
2013-10-01,3.29,3.42,3.26,3.42,258400,3.42
2013-09-30,3.23,3.33,3.17,3.30,457900,3.30
2013-09-27,3.29,3.33,3.23,3.29,125000,3.29
2013-09-26,3.38,3.38,3.26,3.33,149800,3.33
2013-09-25,3.37,3.41,3.35,3.36,93100,3.36
2013-09-24,3.43,3.45,3.35,3.37,135800,3.37
2013-09-23,3.39,3.46,3.35,3.42,150200,3.42
2013-09-20,3.46,3.55,3.37,3.40,556400,3.40
