Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,58.76,59.09,58.42,58.98,2577300,58.98
2013-11-13,58.70,58.80,57.57,58.07,3252800,58.07
2013-11-12,59.14,59.38,58.95,58.98,2286400,58.98
2013-11-11,59.00,59.55,58.76,59.05,2532700,59.05
2013-11-08,59.78,59.88,59.00,59.47,3756300,59.47
2013-11-07,59.31,60.77,59.29,60.29,4556200,60.29
2013-11-06,59.50,60.24,59.34,59.52,2309900,59.52
2013-11-05,59.80,59.97,58.96,59.35,3089300,59.35
2013-11-04,60.20,60.39,59.76,59.83,2286600,59.83
2013-11-01,60.46,60.70,60.00,60.05,2112400,60.05
2013-10-31,59.45,60.45,59.23,60.44,3761500,60.44
2013-10-30,60.00,60.49,59.32,59.40,2828000,59.40
2013-10-29,59.09,59.77,58.96,59.77,2570000,59.77
2013-10-28,60.18,60.33,58.75,59.09,2912100,59.09
2013-10-25,60.33,60.48,59.80,59.99,2880000,59.99
2013-10-24,59.50,60.96,59.29,60.32,6798500,60.32
2013-10-23,57.89,58.37,57.80,58.37,2708400,58.37
2013-10-22,57.99,58.47,57.86,58.12,3435000,58.12
2013-10-21,58.09,58.26,57.62,58.19,2176100,58.19
2013-10-18,58.73,58.95,57.88,58.30,7428700,58.30
2013-10-17,59.04,59.04,58.21,58.46,2957600,58.46
2013-10-16,59.45,59.49,58.92,59.15,3510000,59.15
2013-10-15,58.65,59.49,58.28,59.45,3650400,59.45
2013-10-14,58.25,58.26,57.89,58.20,1708500,58.20
2013-10-11,58.68,58.72,58.02,58.32,2290500,58.32
2013-10-10,57.63,58.48,57.62,58.20,3799200,58.20
2013-10-09,57.78,58.00,57.16,57.34,2284700,57.34
2013-10-08,57.78,57.96,57.30,57.74,2443900,57.74
2013-10-07,57.84,57.93,57.22,57.59,2066700,57.59
2013-10-04,57.70,58.27,56.96,58.00,3634900,58.00
2013-10-03,57.50,57.98,57.40,57.85,2082700,57.85
2013-10-02,57.83,57.88,56.96,57.43,2707700,57.43
2013-10-01,57.64,58.19,57.53,58.00,3794800,58.00
2013-09-30,57.30,57.80,56.72,57.62,2963200,57.62
2013-09-27,57.79,58.07,57.14,58.00,2228000,58.00
2013-09-26,58.00,58.07,57.52,57.73,2424400,57.73
2013-09-25,58.00,58.29,57.54,57.83,2408000,57.83
2013-09-24,57.55,58.11,57.55,58.00,2996500,58.00
