Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,6.58,6.68,6.44,6.48,3532400,6.48
2013-11-12,6.65,6.72,6.46,6.50,4397300,6.50
2013-11-11,6.42,6.69,6.23,6.68,5777800,6.68
2013-11-08,6.39,6.46,6.20,6.46,7741800,6.46
2013-11-07,6.73,6.80,6.49,6.52,6614100,6.52
2013-11-06,6.74,6.89,6.73,6.89,4561700,6.89
2013-11-05,6.75,6.77,6.58,6.68,4094800,6.68
2013-11-04,6.63,6.82,6.60,6.79,3184400,6.79
2013-11-01,6.64,6.71,6.52,6.58,4492600,6.58
2013-10-31,6.86,6.94,6.72,6.75,5861100,6.75
2013-10-30,7.06,7.17,6.81,7.09,9822900,7.09
2013-10-29,7.15,7.20,6.87,6.88,6803400,6.88
2013-10-28,6.98,7.21,6.87,7.17,7096200,7.17
2013-10-25,6.85,7.00,6.73,6.95,5862900,6.95
2013-10-24,6.66,6.94,6.66,6.89,8556600,6.89
2013-10-23,6.49,6.68,6.43,6.55,9063300,6.55
2013-10-22,6.45,6.68,6.45,6.55,5726700,6.55
2013-10-21,6.14,6.34,6.13,6.31,3485000,6.31
2013-10-18,6.20,6.26,6.09,6.10,5250700,6.10
2013-10-17,5.94,6.35,5.87,6.20,10398700,6.20
2013-10-16,5.81,5.84,5.65,5.66,9251400,5.66
2013-10-15,5.78,5.86,5.64,5.80,9603900,5.80
2013-10-14,5.89,5.95,5.70,5.79,4066900,5.79
2013-10-11,5.95,6.01,5.79,5.79,6421400,5.79
2013-10-10,6.11,6.23,5.98,6.06,3832700,6.06
2013-10-09,6.05,6.27,5.86,6.11,8079400,6.11
2013-10-08,6.47,6.49,6.07,6.10,7280900,6.10
2013-10-07,6.43,6.50,6.37,6.48,4513600,6.48
2013-10-04,6.43,6.51,6.32,6.39,4324400,6.39
2013-10-03,6.51,6.63,6.40,6.41,4344000,6.41
2013-10-02,6.65,6.83,6.54,6.55,6116500,6.55
2013-10-01,6.57,6.65,6.50,6.59,5951300,6.59
2013-09-30,6.59,6.85,6.58,6.71,4869000,6.71
2013-09-27,6.76,6.86,6.65,6.65,6785100,6.65
2013-09-26,6.80,6.83,6.58,6.68,4780300,6.68
2013-09-25,6.75,6.98,6.70,6.76,5295600,6.76
2013-09-24,6.70,6.76,6.57,6.69,7404800,6.69
2013-09-23,6.89,7.04,6.71,6.74,6527600,6.74
2013-09-20,7.36,7.36,6.83,6.89,22359100,6.89
2013-09-19,7.94,7.96,7.42,7.57,8038000,7.57
2013-09-18,7.18,7.98,7.03,7.84,14379500,7.84
2013-09-17,7.15,7.27,7.07,7.25,5315100,7.25
