Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,13.48,13.67,13.31,13.54,16042000,13.54
2013-11-13,13.43,13.85,13.30,13.77,17246500,13.77
2013-11-12,13.52,13.57,13.33,13.49,7919200,13.49
2013-11-11,13.52,13.55,13.36,13.55,6499400,13.55
2013-11-08,13.45,13.48,13.30,13.44,10089400,13.44
2013-11-07,13.66,13.79,13.48,13.52,10137000,13.52
2013-11-06,13.82,13.84,13.59,13.73,7419500,13.73
2013-11-05,13.50,13.65,13.47,13.60,9319700,13.60
2013-11-04,13.30,13.49,13.28,13.43,5116300,13.43
2013-11-01,13.41,13.47,13.28,13.40,5650800,13.40
2013-10-31,13.51,13.51,13.27,13.45,9548500,13.45
2013-10-30,13.59,13.72,13.48,13.57,5731800,13.57
2013-10-29,13.48,13.65,13.48,13.64,6108100,13.64
2013-10-28,13.54,13.60,13.47,13.48,6249100,13.48
2013-10-25,13.30,13.56,13.30,13.42,7103400,13.42
2013-10-24,13.41,13.43,13.25,13.36,6363800,13.36
2013-10-23,13.41,13.42,13.20,13.32,8412900,13.32
2013-10-22,13.48,13.52,13.27,13.45,10953500,13.45
2013-10-21,13.60,13.66,13.48,13.54,8096000,13.54
2013-10-18,13.82,13.84,13.55,13.65,18824400,13.65
2013-10-17,13.98,14.02,13.68,13.81,16063200,13.81
2013-10-16,14.02,14.25,13.98,14.24,10657600,14.24
2013-10-15,14.01,14.05,13.81,14.00,8312400,14.00
2013-10-14,13.68,13.99,13.65,13.90,8809400,13.90
2013-10-11,13.99,14.00,13.53,13.74,17545900,13.74
2013-10-10,14.14,14.27,13.95,14.25,13840800,14.25
2013-10-09,13.87,14.24,13.83,14.03,14238300,14.03
2013-10-08,13.85,14.01,13.66,13.87,11300900,13.87
2013-10-07,13.39,13.88,13.32,13.81,16947700,13.81
2013-10-04,13.03,13.33,13.02,13.27,6642700,13.27
2013-10-03,13.07,13.22,13.04,13.10,4766400,13.10
2013-10-02,13.18,13.19,12.97,13.10,7410900,13.10
2013-10-01,13.13,13.23,12.97,13.22,9462700,13.22
2013-09-30,13.19,13.34,13.06,13.15,10478200,13.15
2013-09-27,13.49,13.59,13.32,13.41,6135000,13.41
2013-09-26,13.48,13.55,13.39,13.47,5910000,13.47
2013-09-25,13.50,13.52,13.35,13.48,6439400,13.48
2013-09-24,13.35,13.61,13.35,13.52,6973000,13.52
2013-09-23,13.43,13.44,13.24,13.38,8859300,13.38
2013-09-20,13.27,13.52,13.19,13.52,27782700,13.52
2013-09-19,13.76,13.84,13.41,13.55,14868800,13.55
2013-09-18,13.74,13.80,13.68,13.73,6331400,13.73
2013-09-17,13.59,13.85,13.58,13.74,8233000,13.74
2013-09-16,13.89,13.89,13.58,13.62,9713800,13.62
2013-09-13,13.66,13.77,13.56,13.74,10507300,13.74
2013-09-12,13.22,13.89,13.16,13.76,19870700,13.76
2013-09-11,12.82,13.52,12.82,13.45,21573800,13.45
2013-09-10,12.59,12.88,12.56,12.84,13326600,12.84
2013-09-09,12.55,12.65,12.38,12.49,12245700,12.49
2013-09-06,12.10,12.85,12.10,12.70,26410400,12.70
2013-09-05,12.08,12.11,11.92,12.11,10325300,12.11
2013-09-04,12.12,12.16,11.99,12.08,7012700,12.08
2013-09-03,12.07,12.14,11.88,12.06,9374300,12.06
2013-09-02,12.00,12.10,11.99,12.08,7084700,12.08
2013-08-30,12.05,12.10,11.94,11.98,9193200,11.98
2013-08-29,12.26,12.28,12.02,12.11,7898400,12.11
2013-08-28,11.98,12.25,11.97,12.21,11572900,12.21
2013-08-27,12.12,12.18,11.99,12.01,9950700,12.01
2013-08-26,12.19,12.19,12.06,12.12,2909900,12.12
2013-08-23,12.17,12.22,12.06,12.15,5311300,12.15
2013-08-22,12.09,12.22,12.07,12.15,5830100,12.15
2013-08-21,12.06,12.12,11.94,12.04,7261400,12.04
2013-08-20,12.11,12.15,12.02,12.06,8148500,12.06
2013-08-19,12.35,12.35,12.14,12.17,6857900,12.17
2013-08-16,12.27,12.42,12.24,12.33,7547600,12.33
2013-08-15,12.30,12.41,12.15,12.29,6676800,12.29
2013-08-14,12.53,12.56,12.18,12.35,10181400,12.35
2013-08-13,12.65,12.85,12.41,12.50,16786800,12.50
2013-08-12,12.26,12.28,12.03,12.23,6749600,12.23
2013-08-09,12.19,12.31,12.07,12.25,5732600,12.25
2013-08-08,12.15,12.16,11.97,12.16,6525400,12.16
2013-08-07,12.06,12.25,11.96,12.15,7252100,12.15
2013-08-06,12.55,12.55,11.99,12.06,15997000,12.06
2013-08-05,12.74,12.78,12.48,12.60,6249000,12.60
2013-08-02,12.89,12.90,12.69,12.74,5816100,12.74
2013-08-01,12.82,12.94,12.78,12.87,7754100,12.87
2013-07-31,12.84,12.86,12.66,12.76,7429200,12.76
2013-07-30,12.77,12.94,12.71,12.85,9154600,12.85
2013-07-29,12.81,12.89,12.57,12.62,6895900,12.62
2013-07-26,12.86,12.90,12.75,12.77,5595700,12.77
2013-07-25,12.83,12.85,12.59,12.77,7036900,12.77
2013-07-24,12.66,12.85,12.65,12.78,8108100,12.78
2013-07-23,12.57,12.68,12.56,12.57,5780600,12.57
2013-07-22,12.45,12.64,12.40,12.50,5816000,12.50
2013-07-19,12.30,12.48,12.23,12.40,11734600,12.40
2013-07-18,12.15,12.34,12.12,12.30,5460900,12.30
2013-07-17,12.16,12.23,12.01,12.16,6878500,12.16
2013-07-16,12.26,12.26,12.10,12.15,4929200,12.15
2013-07-15,12.20,12.27,12.11,12.23,4624300,12.23
2013-07-12,12.25,12.35,12.11,12.18,6718400,12.18
2013-07-11,12.19,12.25,12.15,12.23,5675800,12.23
2013-07-10,12.13,12.18,11.89,12.06,9030300,12.06
2013-07-09,12.16,12.27,12.10,12.20,6979600,12.20
2013-07-08,12.03,12.10,11.81,12.03,8066200,12.03
2013-07-05,12.25,12.25,11.85,11.94,10718000,11.94
2013-07-04,12.18,12.29,11.98,12.23,9821000,12.23
2013-07-03,12.08,12.30,11.91,12.05,17478900,12.05
2013-07-02,12.41,12.47,12.00,12.18,12918600,12.18
2013-07-01,12.64,12.72,12.36,12.43,11772200,12.43
2013-06-28,12.51,12.72,12.51,12.61,10374100,12.61
2013-06-27,12.40,12.60,12.28,12.52,9994800,12.52
2013-06-26,12.06,12.38,12.02,12.33,12790200,12.33
2013-06-25,12.26,12.31,11.96,12.06,15051500,12.06
2013-06-24,12.43,12.51,12.07,12.19,14901700,12.19
2013-06-21,12.73,12.76,12.41,12.41,30169500,12.41
2013-06-20,12.89,12.93,12.57,12.69,17510100,12.69
2013-06-19,13.23,13.26,13.01,13.06,8259500,13.06
2013-06-18,13.18,13.27,13.09,13.22,6367200,13.22
2013-06-17,13.07,13.27,13.06,13.19,8797100,13.19
2013-06-14,13.18,13.18,12.93,13.02,7936500,13.02
2013-06-13,12.76,13.15,12.76,13.08,11486500,13.08
2013-06-12,12.80,13.05,12.75,12.90,8363000,12.90
2013-06-11,12.81,12.86,12.70,12.82,8375000,12.82
2013-06-10,12.89,12.98,12.78,12.86,7291300,12.86
2013-06-07,12.81,12.98,12.72,12.92,9584000,12.92
2013-06-06,12.78,12.98,12.77,12.77,7432200,12.77
2013-06-05,12.81,12.94,12.69,12.77,7552800,12.77
2013-06-04,12.95,12.99,12.79,12.85,7339600,12.85
2013-06-03,12.98,13.03,12.75,12.84,11638200,12.84
2013-05-31,13.30,13.34,13.06,13.06,10938500,13.06
2013-05-30,13.15,13.28,13.09,13.19,6373700,13.19
2013-05-29,13.30,13.38,13.14,13.16,7575100,13.16
2013-05-28,13.30,13.39,13.20,13.32,7884800,13.32
2013-05-27,13.19,13.27,13.15,13.25,2637700,13.25
2013-05-24,13.29,13.34,13.07,13.15,7434300,13.15
2013-05-23,13.16,13.28,13.10,13.23,10743100,13.23
2013-05-22,13.27,13.41,13.19,13.34,9130700,13.34
2013-05-21,12.98,13.23,12.94,13.23,10906900,13.23
2013-05-20,12.99,13.00,12.82,12.96,3831600,12.96
2013-05-17,12.85,12.99,12.79,12.90,14101700,12.90
2013-05-16,12.90,12.93,12.77,12.88,7817900,12.88
2013-05-15,13.00,13.06,12.78,12.95,8650300,12.95
2013-05-14,13.10,13.16,12.86,13.02,9466400,13.02
2013-05-13,13.16,13.17,13.03,13.09,7625400,13.09
2013-05-10,13.06,13.26,13.06,13.17,10555800,13.17
2013-05-09,13.15,13.20,13.09,13.18,5168300,13.18
2013-05-08,13.29,13.38,13.13,13.24,10820500,13.24
2013-05-07,13.27,13.27,13.06,13.19,10208400,13.19
2013-05-06,13.20,13.21,12.95,13.09,15390000,13.09
2013-05-03,13.84,14.20,13.78,14.20,29823900,13.40
2013-05-02,13.80,13.90,13.68,13.72,16670400,12.94
2013-05-01,13.76,13.76,13.76,13.76,000,12.98
2013-04-30,13.80,13.85,13.74,13.76,13993600,12.98
2013-04-29,13.75,13.81,13.60,13.70,11782800,12.92
2013-04-26,13.74,13.90,13.57,13.69,14968400,12.90
2013-04-25,13.78,13.81,13.56,13.79,11028400,13.00
2013-04-24,13.41,13.76,13.37,13.72,13170000,12.94
2013-04-23,13.28,13.45,13.06,13.38,15667800,12.61
2013-04-22,13.29,13.36,13.17,13.22,11828600,12.47
2013-04-19,13.35,13.36,12.95,13.14,21506200,12.39
2013-04-18,13.38,13.45,13.10,13.23,20464100,12.48
2013-04-17,13.90,13.91,13.36,13.42,19066600,12.65
2013-04-16,14.49,14.57,13.66,13.74,31482600,12.96
2013-04-15,14.63,14.92,14.37,14.46,15804600,13.64
2013-04-12,14.68,14.76,14.45,14.48,10642000,13.65
2013-04-11,14.59,14.74,14.35,14.71,9898300,13.87
2013-04-10,14.36,14.66,14.31,14.61,16727400,13.78
2013-04-09,14.10,14.17,13.95,14.07,8500100,13.27
2013-04-08,14.25,14.29,13.95,14.00,8198000,13.20
2013-04-05,14.11,14.40,14.06,14.16,15500700,13.35
2013-04-04,13.98,14.23,13.95,14.05,14633700,13.25
2013-04-03,14.03,14.09,13.86,13.90,9260300,13.11
2013-04-02,13.80,14.16,13.74,14.10,14950300,13.29
2013-04-01,13.62,13.62,13.62,13.62,000,12.84
2013-03-29,13.62,13.62,13.62,13.62,000,12.84
2013-03-28,13.44,13.74,13.40,13.62,9386700,12.84
2013-03-27,13.62,13.65,13.39,13.45,10975600,12.68
2013-03-26,13.58,13.65,13.44,13.54,8674100,12.77
2013-03-25,13.98,13.99,13.49,13.55,13268300,12.78
2013-03-22,13.84,13.99,13.74,13.86,17854900,13.07
2013-03-21,13.35,13.85,13.27,13.70,27444100,12.92
2013-03-20,13.01,13.19,12.91,13.15,9702400,12.40
2013-03-19,12.94,13.06,12.87,12.94,9025900,12.20
2013-03-18,12.91,12.99,12.86,12.97,9700200,12.23
2013-03-15,13.07,13.11,12.97,13.07,23140100,12.32
2013-03-14,13.03,13.09,12.91,13.09,10859400,12.34
2013-03-13,13.15,13.16,12.95,13.01,9185900,12.27
2013-03-12,13.15,13.19,12.98,13.04,8040200,12.30
2013-03-11,13.24,13.25,13.05,13.15,6800200,12.40
2013-03-08,13.15,13.27,13.09,13.20,9323600,12.45
2013-03-07,13.09,13.17,13.03,13.07,6527800,12.32
2013-03-06,13.06,13.16,12.96,13.04,9188600,12.30
2013-03-05,12.93,13.10,12.93,13.02,12584700,12.28
2013-03-04,12.62,12.86,12.60,12.80,8249900,12.07
2013-03-01,12.75,12.81,12.53,12.69,9791000,11.97
2013-02-28,12.84,12.95,12.65,12.79,9152600,12.06
2013-02-27,12.66,12.80,12.50,12.74,13058600,12.01
2013-02-26,12.76,12.82,12.55,12.59,14650100,11.87
2013-02-25,12.94,13.25,12.89,13.02,14370800,12.28
2013-02-22,12.65,12.90,12.60,12.86,10701100,12.13
2013-02-21,12.80,12.83,12.55,12.56,13667000,11.85
2013-02-20,13.17,13.18,12.82,12.88,13142100,12.14
2013-02-19,13.29,13.44,12.90,13.16,15909400,12.41
2013-02-18,12.98,13.33,12.84,13.26,10524900,12.50
2013-02-15,13.10,13.16,12.95,12.97,14495200,12.23
2013-02-14,13.33,13.36,13.07,13.15,10054300,12.40
2013-02-13,13.44,13.44,13.24,13.33,10645800,12.57
2013-02-12,13.48,13.49,13.29,13.44,16944600,12.67
2013-02-11,12.89,13.32,12.79,13.25,17616600,12.49
2013-02-08,12.60,12.91,12.42,12.85,15235200,12.12
2013-02-07,12.51,12.68,12.44,12.51,13404200,11.80
2013-02-06,12.72,12.73,12.43,12.57,15462800,11.85
2013-02-05,12.70,12.85,12.66,12.73,10848700,12.01
2013-02-04,12.90,13.18,12.70,12.70,17922200,11.98
2013-02-01,12.85,12.94,12.65,12.83,14831500,12.10
2013-01-31,13.20,13.20,12.74,12.81,21691200,12.07
2013-01-30,13.36,13.86,13.15,13.22,26264700,12.47
2013-01-29,13.06,13.34,13.02,13.32,13437600,12.57
2013-01-28,13.33,13.34,12.98,13.06,14940900,12.32
2013-01-25,13.35,13.43,13.21,13.31,11117700,12.56
2013-01-24,13.43,13.48,13.26,13.35,13412300,12.59
2013-01-23,13.75,13.80,13.45,13.48,17030600,12.71
2013-01-22,13.99,14.02,13.75,13.76,12173100,12.97
2013-01-21,13.94,14.07,13.92,14.07,5435300,13.27
2013-01-18,13.99,13.99,13.85,13.85,9387200,13.06
2013-01-17,13.85,14.02,13.72,13.95,8492600,13.15
2013-01-16,13.91,13.98,13.77,13.85,10019900,13.06
2013-01-15,14.14,14.18,13.93,13.98,11227400,13.19
2013-01-14,14.35,14.37,14.14,14.20,6250100,13.39
2013-01-11,14.38,14.42,14.15,14.27,7259900,13.45
2013-01-10,14.49,14.49,14.28,14.35,8994400,13.53
2013-01-09,14.28,14.43,14.25,14.40,8276000,13.58
2013-01-08,14.22,14.27,14.14,14.22,7793600,13.41
2013-01-07,14.47,14.48,14.19,14.26,10573900,13.45
2013-01-04,14.44,14.53,14.39,14.51,7339400,13.68
2013-01-03,14.37,14.50,14.35,14.40,8064700,13.57
2013-01-02,14.40,14.40,14.20,14.35,10045100,13.53
2013-01-01,14.09,14.09,14.09,14.09,000,13.29
