Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,55.01,55.35,54.96,55.21,1517200,55.21
2013-11-13,54.76,55.26,54.72,55.23,988900,55.23
2013-11-12,55.62,55.84,55.36,55.58,988600,55.58
2013-11-11,55.89,56.00,55.81,56.00,728300,56.00
2013-11-08,55.16,55.95,55.15,55.94,1343000,55.94
2013-11-07,55.93,56.04,55.18,55.27,982100,55.27
2013-11-06,55.99,56.19,55.71,56.07,1240900,56.07
2013-11-05,56.15,56.24,55.77,56.12,1273900,56.12
2013-11-04,56.78,56.79,56.27,56.51,1684900,56.51
2013-11-01,55.03,55.24,54.80,55.21,994100,55.21
2013-10-31,55.03,55.24,54.89,55.04,1318800,55.04
2013-10-30,55.36,55.45,54.89,54.99,1068500,54.99
2013-10-29,55.59,55.66,55.25,55.40,1129500,55.40
2013-10-28,55.10,55.42,55.01,55.25,1615300,55.25
2013-10-25,55.12,55.41,55.02,55.30,1393000,55.30
2013-10-24,55.28,55.43,55.18,55.37,1015200,55.37
2013-10-23,54.86,55.20,54.78,55.08,1101800,55.08
2013-10-22,55.77,56.21,55.70,56.02,1231800,55.52
2013-10-21,55.37,55.75,55.35,55.59,1270100,55.09
2013-10-18,54.88,55.30,54.80,55.21,1166900,54.72
2013-10-17,54.66,55.23,54.60,55.16,1397800,54.67
2013-10-16,54.76,55.08,54.68,54.85,1621200,54.36
2013-10-15,55.13,55.16,54.65,54.70,1779300,54.21
2013-10-14,55.14,55.73,55.13,55.60,911600,55.10
2013-10-11,55.21,55.41,54.48,55.35,1455700,54.86
2013-10-10,54.20,54.55,54.17,54.55,1088900,54.06
2013-10-09,53.67,53.86,53.35,53.75,807100,53.27
2013-10-08,53.94,54.00,53.48,53.49,1080100,53.01
2013-10-07,54.15,54.40,54.12,54.15,623200,53.67
2013-10-04,54.43,54.83,54.40,54.76,496400,54.27
2013-10-03,54.52,54.57,54.11,54.39,713200,53.90
2013-10-02,54.24,54.57,54.07,54.57,878500,54.08
2013-10-01,54.50,54.69,54.43,54.66,1067900,54.17
2013-09-30,54.20,54.46,54.14,54.26,975700,53.78
2013-09-27,54.79,54.95,54.67,54.79,903300,54.30
2013-09-26,54.65,55.07,54.63,54.97,844400,54.48
2013-09-25,54.95,55.21,54.77,54.95,777100,54.46
2013-09-24,55.13,55.30,54.82,55.05,892500,54.56
2013-09-23,55.27,55.38,54.91,55.28,713800,54.79
2013-09-20,55.53,55.94,55.13,55.14,1363900,54.65
2013-09-19,56.75,56.75,56.06,56.12,881700,55.62
2013-09-18,55.72,56.96,55.34,56.84,1415800,56.33
2013-09-17,55.52,55.73,55.23,55.35,894500,54.86
2013-09-16,56.25,56.31,55.98,56.02,1018300,55.52
2013-09-13,55.44,55.98,55.44,55.89,652800,55.39
2013-09-12,55.46,55.84,55.44,55.55,745600,55.05
2013-09-11,55.14,55.52,54.80,55.49,955100,54.99
2013-09-10,55.52,55.76,55.44,55.63,1005200,55.13
2013-09-09,55.17,55.58,55.15,55.53,746600,55.03
2013-09-06,55.69,55.71,55.25,55.32,1035300,54.83
2013-09-05,55.01,55.49,54.99,55.43,1132100,54.94
2013-09-04,53.75,54.41,53.68,54.33,692300,53.85
2013-09-03,53.99,54.06,53.37,53.69,1048500,53.21
2013-08-30,52.95,53.00,52.11,52.42,1410300,51.95
2013-08-29,53.24,53.58,53.16,53.26,986500,52.78
2013-08-28,52.51,53.18,52.49,53.08,2674800,52.61
2013-08-27,53.19,53.54,52.95,53.07,1068000,52.60
2013-08-26,54.27,54.48,54.16,54.23,526500,53.75
2013-08-23,54.42,54.56,54.13,54.44,826700,53.95
2013-08-22,54.08,54.34,53.88,54.10,3267700,53.62
2013-08-21,53.95,54.05,53.37,53.49,1115300,53.01
2013-08-20,54.92,55.38,54.67,55.24,862300,54.25
2013-08-19,55.06,55.23,54.80,54.84,692700,53.86
2013-08-16,55.27,55.49,55.16,55.35,696100,54.36
2013-08-15,55.25,55.67,54.94,55.50,970200,54.51
2013-08-14,55.84,55.95,55.65,55.79,523000,54.79
2013-08-13,55.15,55.70,54.89,55.60,1149400,54.60
2013-08-12,55.10,55.32,54.93,55.09,854700,54.10
2013-08-09,55.16,55.41,55.03,55.25,760100,54.26
2013-08-08,54.51,54.68,54.09,54.55,982300,53.57
2013-08-07,54.70,54.77,54.17,54.23,861300,53.26
2013-08-06,55.37,55.46,54.74,55.05,882800,54.06
2013-08-05,55.03,55.73,54.84,55.37,2599700,54.38
2013-08-02,57.58,57.97,57.35,57.97,1112800,56.93
2013-08-01,57.14,57.34,56.91,57.30,773200,56.27
2013-07-31,56.82,57.11,56.61,56.75,1100200,55.73
2013-07-30,56.32,56.43,55.91,56.25,672200,55.24
2013-07-29,56.03,56.21,55.69,56.10,709800,55.10
2013-07-26,56.39,56.75,56.08,56.64,660800,55.63
2013-07-25,56.13,56.73,56.05,56.72,608500,55.70
2013-07-24,56.72,56.73,56.09,56.30,674100,55.29
2013-07-23,56.71,56.90,56.25,56.44,886300,55.43
2013-07-22,56.33,56.61,56.30,56.52,808400,55.51
2013-07-19,56.09,56.41,55.78,56.37,1066500,55.36
2013-07-18,56.32,56.68,56.27,56.41,1100100,55.40
2013-07-17,55.75,55.96,55.58,55.65,1524500,54.65
2013-07-16,55.27,55.28,54.94,55.11,627300,54.12
2013-07-15,55.16,55.39,54.98,55.26,518200,54.27
2013-07-12,54.77,54.93,54.59,54.87,705900,53.89
2013-07-11,54.90,55.18,54.47,55.05,894900,54.06
2013-07-10,53.97,54.44,53.78,54.06,874100,53.09
2013-07-09,53.82,54.12,53.50,54.08,771500,53.11
2013-07-08,53.78,54.00,53.48,53.68,840900,52.72
2013-07-05,53.59,53.67,53.01,53.63,1270700,52.67
2013-07-03,51.74,52.36,51.68,52.20,609400,51.27
2013-07-02,52.39,52.90,52.28,52.58,883000,51.64
2013-07-01,52.82,53.27,52.61,52.75,941100,51.81
2013-06-28,51.92,52.35,51.77,51.90,877300,50.97
2013-06-27,52.04,52.42,51.91,52.18,1076900,51.25
2013-06-26,52.32,52.37,51.97,52.18,1100900,51.25
2013-06-25,52.03,52.16,51.38,52.04,1414000,51.11
2013-06-24,50.49,50.99,50.38,50.68,2998700,49.77
2013-06-21,51.67,51.73,50.83,51.38,1811600,50.46
2013-06-20,52.03,52.11,51.34,51.41,2470300,50.49
