Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,69.99,70.32,69.99,70.32,300,70.32
2013-11-13,69.99,69.99,69.44,69.99,000,69.99
2013-11-12,70.21,70.57,70.00,70.09,500,70.09
2013-11-11,68.80,69.66,68.80,69.66,600,69.66
2013-11-08,69.36,69.36,68.57,68.83,100,68.83
2013-11-07,69.09,69.52,68.94,69.52,100,69.52
2013-11-06,68.79,69.02,68.77,68.95,000,68.95
2013-11-05,68.19,69.25,68.19,69.00,300,69.00
2013-11-04,67.98,68.50,67.80,68.33,600,68.33
2013-11-01,68.01,68.23,67.50,67.50,100,67.50
2013-10-31,67.86,68.22,67.86,67.88,100,67.88
2013-10-30,68.10,68.42,67.99,67.99,400,67.99
2013-10-29,68.33,68.46,68.10,68.26,400,68.26
2013-10-28,66.63,68.33,66.63,68.33,600,68.33
2013-10-25,66.67,66.70,66.12,66.63,200,66.63
2013-10-24,66.83,66.93,66.40,66.82,200,66.82
2013-10-23,66.36,66.82,66.36,66.47,200,66.47
2013-10-22,65.46,66.51,65.30,66.38,000,66.38
2013-10-21,65.34,65.50,65.30,65.30,000,65.30
2013-10-18,63.75,65.42,63.75,65.26,000,65.26
2013-10-17,64.20,64.20,63.43,63.85,1100,63.85
2013-10-16,63.63,63.84,63.15,63.84,300,63.84
2013-10-15,62.51,63.51,62.51,63.51,200,63.51
2013-10-14,62.92,62.92,62.76,62.78,200,62.78
2013-10-11,62.76,62.99,62.74,62.99,600,62.99
2013-10-10,62.20,62.48,62.20,62.35,1400,62.35
2013-10-09,62.99,62.99,62.16,62.20,200,62.20
2013-10-08,63.70,63.70,63.04,63.10,000,63.10
2013-10-07,63.71,63.72,63.11,63.72,200,63.72
2013-10-04,64.07,64.29,63.94,63.94,000,63.94
2013-10-03,64.35,64.40,64.08,64.08,400,64.08
2013-10-02,64.58,64.58,64.04,64.28,500,64.28
2013-10-01,64.64,65.00,64.30,64.58,1600,64.58
2013-09-30,65.56,66.97,65.49,65.49,100,65.49
2013-09-27,65.30,65.58,65.18,65.28,300,65.28
2013-09-26,65.30,65.46,65.16,65.28,1700,65.28
2013-09-25,65.38,65.38,64.85,65.12,100,65.12
2013-09-24,65.85,65.98,65.22,65.43,300,65.43
2013-09-23,64.96,65.81,64.77,65.81,400,65.81
2013-09-20,65.10,65.50,64.78,65.17,1400,65.17
2013-09-19,64.88,65.72,64.88,65.10,1100,65.10
2013-09-18,64.33,64.60,64.15,64.60,500,64.60
2013-09-17,63.50,64.37,63.35,64.37,800,64.37
2013-09-16,62.90,64.28,62.90,63.80,700,63.80
2013-09-13,62.22,63.23,62.22,62.98,000,62.98
2013-09-12,62.19,62.43,62.19,62.33,000,62.33
2013-09-11,62.49,62.62,62.09,62.19,000,62.19
2013-09-10,61.61,62.71,61.61,62.71,200,62.71
2013-09-09,61.69,62.09,61.59,61.62,000,61.62
2013-09-06,61.86,61.86,61.03,61.28,200,61.28
2013-09-05,62.26,62.44,61.73,61.75,200,61.75
2013-09-04,62.59,62.85,61.90,62.24,100,62.24
2013-09-03,62.82,63.23,62.66,62.86,300,62.86
2013-09-02,61.39,62.85,61.39,62.80,000,62.80
2013-08-30,62.00,62.40,61.39,61.39,100,61.39
2013-08-29,62.20,62.31,61.82,62.02,100,62.02
2013-08-28,63.34,63.41,61.92,62.20,600,62.20
2013-08-27,63.97,64.18,63.10,63.40,800,63.40
2013-08-26,64.04,64.17,63.77,64.15,100,64.15
2013-08-23,63.79,64.29,63.79,64.14,100,64.14
2013-08-22,63.77,65.00,63.77,64.82,300,64.82
2013-08-21,63.51,63.51,63.45,63.45,100,63.45
2013-08-20,63.51,63.96,63.42,63.96,200,63.96
2013-08-19,64.63,64.63,64.13,64.19,100,64.19
2013-08-16,65.29,65.29,64.44,64.44,300,64.44
2013-08-15,65.00,65.00,64.66,64.66,100,64.66
2013-08-14,64.43,65.31,64.43,64.79,300,64.79
2013-08-13,64.26,64.85,64.26,64.62,000,64.62
2013-08-12,64.12,64.42,63.54,64.27,000,64.27
2013-08-09,64.17,64.39,63.86,64.39,100,64.39
2013-08-08,62.75,65.23,62.75,64.02,200,64.02
2013-08-07,62.70,63.30,62.40,62.57,3200,62.57
