Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,7.00,7.07,6.96,6.97,11304800,6.97
2013-11-13,6.87,6.90,6.76,6.89,11301200,6.89
2013-11-12,7.10,7.16,6.81,6.88,28923600,6.88
2013-11-11,7.17,7.30,7.16,7.29,7846900,7.29
2013-11-08,7.10,7.12,7.04,7.12,6042400,7.12
2013-11-07,7.20,7.28,7.11,7.12,5620200,7.12
2013-11-06,7.22,7.30,7.17,7.23,4617300,7.23
2013-11-05,7.22,7.23,7.11,7.19,5911000,7.19
2013-11-04,7.13,7.27,7.12,7.18,5706500,7.18
2013-11-01,7.15,7.16,7.11,7.13,3749200,7.13
2013-10-31,7.05,7.15,7.04,7.13,4801800,7.13
2013-10-30,7.12,7.21,7.04,7.07,6277900,7.07
2013-10-29,6.94,7.12,6.94,7.11,7834600,7.11
2013-10-28,6.96,7.00,6.89,6.94,5057500,6.94
2013-10-25,6.99,7.04,6.89,6.94,8350300,6.94
2013-10-24,7.09,7.09,6.97,7.04,7948300,7.04
2013-10-23,7.10,7.20,7.03,7.07,9531200,7.07
2013-10-22,7.27,7.27,7.13,7.13,9395900,7.13
2013-10-21,7.20,7.32,7.15,7.29,5477400,7.29
2013-10-18,7.19,7.24,7.08,7.22,9430800,7.22
2013-10-17,7.25,7.27,7.11,7.15,7864400,7.15
2013-10-16,7.28,7.35,7.23,7.24,7549600,7.24
2013-10-15,7.40,7.42,7.32,7.33,9669800,7.33
2013-10-14,7.30,7.37,7.22,7.36,8099500,7.36
2013-10-11,7.46,7.51,7.41,7.48,4339200,7.48
2013-10-10,7.29,7.43,7.29,7.41,6449500,7.41
2013-10-09,7.30,7.31,7.18,7.22,5986400,7.22
2013-10-08,7.30,7.42,7.30,7.34,5299600,7.34
2013-10-07,7.38,7.38,7.21,7.30,5031300,7.30
2013-10-04,7.40,7.44,7.34,7.39,3490900,7.39
2013-10-03,7.49,7.50,7.38,7.39,3454900,7.39
2013-10-02,7.47,7.51,7.41,7.46,4001000,7.46
2013-10-01,7.40,7.51,7.36,7.51,7566700,7.51
2013-09-30,7.50,7.51,7.36,7.39,5415300,7.39
2013-09-27,7.59,7.63,7.53,7.57,4223600,7.57
2013-09-26,7.58,7.58,7.45,7.55,4802500,7.55
2013-09-25,7.54,7.61,7.53,7.57,4007800,7.57
2013-09-24,7.59,7.65,7.51,7.55,5542300,7.55
