Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,4.93,4.98,4.89,4.98,5746200,4.98
2013-11-12,4.88,4.96,4.87,4.90,6068100,4.90
2013-11-11,4.88,4.95,4.81,4.94,6569200,4.94
2013-11-08,4.84,4.93,4.76,4.93,8261600,4.93
2013-11-07,4.95,5.05,4.87,4.89,8519800,4.89
2013-11-06,5.01,5.07,4.98,5.05,6090400,5.05
2013-11-05,4.98,5.05,4.88,4.92,6792500,4.92
2013-11-04,4.85,5.04,4.82,5.01,8994300,5.01
2013-11-01,5.00,5.03,4.74,4.82,14307500,4.82
2013-10-31,5.19,5.23,5.05,5.07,10520000,5.07
2013-10-30,5.26,5.35,5.08,5.33,14333500,5.33
2013-10-29,5.29,5.36,5.15,5.15,8915400,5.15
2013-10-28,5.21,5.35,5.13,5.28,10405400,5.28
2013-10-25,5.11,5.24,5.05,5.18,7140200,5.18
2013-10-24,5.04,5.14,5.01,5.14,11928400,5.14
2013-10-23,5.18,5.24,4.97,4.97,11720200,4.97
2013-10-22,5.11,5.25,5.09,5.20,11505700,5.20
2013-10-21,4.89,5.04,4.86,5.04,5781800,5.04
2013-10-18,4.88,4.96,4.85,4.86,6219100,4.86
2013-10-17,4.87,4.96,4.83,4.88,11113100,4.88
2013-10-16,4.78,4.83,4.68,4.70,5538500,4.70
2013-10-15,4.59,4.81,4.59,4.80,9561500,4.80
2013-10-14,4.71,4.72,4.59,4.63,4837900,4.63
2013-10-11,4.63,4.69,4.57,4.65,11870200,4.65
2013-10-10,4.73,4.82,4.66,4.71,7388400,4.71
2013-10-09,4.76,4.84,4.65,4.77,13175300,4.77
2013-10-08,4.91,4.99,4.74,4.78,8790000,4.78
2013-10-07,4.84,4.91,4.83,4.91,5390300,4.91
2013-10-04,4.84,4.87,4.73,4.81,8411700,4.81
2013-10-03,4.88,4.95,4.82,4.84,9600000,4.84
2013-10-02,4.97,5.02,4.87,4.87,12165700,4.87
2013-10-01,4.95,4.97,4.87,4.93,12869700,4.93
2013-09-30,4.93,5.06,4.91,5.05,9421400,5.05
2013-09-27,5.10,5.15,4.94,4.99,6115500,4.99
2013-09-26,5.08,5.14,4.96,5.02,7351800,5.02
2013-09-25,5.03,5.22,5.00,5.10,11358400,5.10
2013-09-24,5.06,5.11,4.98,4.98,18476200,4.98
2013-09-23,5.14,5.28,5.08,5.11,14583600,5.11
2013-09-20,5.46,5.47,5.15,5.19,20954300,5.19
2013-09-19,5.75,5.78,5.45,5.55,14926500,5.55
2013-09-18,5.21,5.79,5.18,5.71,21737600,5.71
2013-09-17,5.21,5.27,5.16,5.26,7393800,5.26
2013-09-16,5.22,5.33,5.18,5.19,11287300,5.19
2013-09-13,5.06,5.20,5.05,5.18,9023400,5.18
2013-09-12,5.21,5.32,5.11,5.11,10797000,5.11
2013-09-11,5.38,5.43,5.27,5.43,9682500,5.43
2013-09-10,5.40,5.44,5.35,5.35,10486700,5.35
2013-09-09,5.55,5.58,5.45,5.50,7000100,5.50
2013-09-06,5.57,5.62,5.49,5.54,8405200,5.54
2013-09-05,5.52,5.57,5.42,5.44,9552300,5.44
