Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,1.44,1.49,1.40,1.45,931400,1.45
2013-11-12,1.44,1.50,1.40,1.40,1158400,1.40
2013-11-11,1.49,1.51,1.41,1.44,1297400,1.44
2013-11-08,1.44,1.47,1.36,1.43,1458500,1.43
2013-11-07,1.44,1.46,1.35,1.35,2350700,1.35
2013-11-06,1.45,1.49,1.41,1.46,2202300,1.46
2013-11-05,1.53,1.55,1.49,1.51,1381300,1.51
2013-11-04,1.43,1.57,1.40,1.49,4809000,1.49
2013-11-01,1.39,1.42,1.38,1.39,1044000,1.39
2013-10-31,1.40,1.40,1.31,1.35,2292300,1.35
2013-10-30,1.41,1.42,1.38,1.39,1510800,1.39
2013-10-29,1.46,1.46,1.37,1.40,1973400,1.40
2013-10-28,1.57,1.57,1.36,1.45,5576200,1.45
2013-10-25,1.54,1.62,1.50,1.52,2646400,1.52
2013-10-24,1.56,1.58,1.54,1.54,1286400,1.54
2013-10-23,1.61,1.61,1.53,1.54,2213200,1.54
2013-10-22,1.61,1.63,1.58,1.60,2084000,1.60
2013-10-21,1.68,1.68,1.61,1.61,1975700,1.61
2013-10-18,1.67,1.69,1.61,1.63,1805500,1.63
2013-10-17,1.80,1.81,1.56,1.62,8300500,1.62
2013-10-16,1.79,1.82,1.75,1.77,1856000,1.77
2013-10-15,1.71,1.87,1.71,1.74,5586300,1.74
2013-10-14,1.74,1.74,1.70,1.71,1348200,1.71
2013-10-11,1.74,1.77,1.69,1.75,3262400,1.75
2013-10-10,1.76,1.81,1.66,1.70,2554000,1.70
2013-10-09,1.72,1.75,1.66,1.71,4024800,1.71
2013-10-08,1.69,1.84,1.63,1.64,8466200,1.64
2013-10-07,1.66,1.75,1.62,1.66,3526800,1.66
2013-10-04,1.67,1.72,1.65,1.68,2298600,1.68
2013-10-03,1.77,1.83,1.63,1.69,6300500,1.69
2013-10-02,1.82,1.90,1.70,1.75,5483200,1.75
2013-10-01,1.96,2.16,1.85,1.89,16666200,1.89
2013-09-30,1.54,1.93,1.49,1.93,14091500,1.93
2013-09-27,1.46,1.55,1.46,1.49,2410100,1.49
2013-09-26,1.51,1.52,1.46,1.48,2024400,1.48
2013-09-25,1.53,1.55,1.50,1.52,1908200,1.52
2013-09-24,1.52,1.56,1.47,1.51,1309800,1.51
2013-09-23,1.50,1.51,1.45,1.49,1783600,1.49
2013-09-20,1.53,1.59,1.50,1.50,2101900,1.50
2013-09-19,1.57,1.57,1.53,1.53,836500,1.53
2013-09-18,1.58,1.58,1.54,1.56,825300,1.56
2013-09-17,1.58,1.58,1.55,1.55,477800,1.55
2013-09-16,1.60,1.60,1.54,1.57,686100,1.57
2013-09-13,1.53,1.58,1.53,1.58,734000,1.58
2013-09-12,1.57,1.61,1.53,1.53,1017300,1.53
2013-09-11,1.58,1.61,1.52,1.58,1429600,1.58
2013-09-10,1.66,1.68,1.58,1.58,2886900,1.58
2013-09-09,1.62,1.65,1.57,1.64,1594200,1.64
2013-09-06,1.65,1.65,1.57,1.58,1685600,1.58
2013-09-05,1.60,1.68,1.56,1.61,2395300,1.61
