Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,10.38,10.53,10.38,10.50,291700,10.50
2013-11-12,10.55,10.60,10.45,10.56,862900,10.56
2013-11-11,10.50,10.61,10.44,10.45,451500,10.45
2013-11-08,10.16,10.35,10.14,10.28,458600,10.28
2013-11-07,10.13,10.27,10.12,10.20,372300,10.20
2013-11-06,10.25,10.32,10.14,10.15,225000,10.15
2013-11-05,10.03,10.31,10.02,10.21,495200,10.21
2013-11-04,10.25,10.36,10.22,10.24,204600,10.24
2013-11-01,10.32,10.32,10.20,10.31,283000,10.31
2013-10-31,10.15,10.29,10.10,10.29,244000,10.29
2013-10-30,10.09,10.19,10.03,10.15,385000,10.15
2013-10-29,10.04,10.14,9.96,10.06,522500,10.06
2013-10-28,10.05,10.12,9.90,10.08,543500,10.08
2013-10-25,10.36,10.41,10.17,10.28,512200,10.28
2013-10-24,10.26,10.61,10.07,10.37,2764800,10.37
2013-10-23,9.46,9.53,9.16,9.24,874100,9.24
2013-10-22,8.98,9.61,8.93,9.41,1793600,9.41
2013-10-21,8.98,9.07,8.90,8.94,536000,8.94
2013-10-18,8.90,8.94,8.76,8.93,618700,8.93
2013-10-17,9.15,9.16,8.79,8.86,1508200,8.86
2013-10-16,9.11,9.15,8.99,9.00,773200,9.00
2013-10-15,9.27,9.34,9.23,9.27,235500,9.27
2013-10-14,9.30,9.45,9.28,9.45,217100,9.45
2013-10-11,9.31,9.49,9.30,9.47,317700,9.47
2013-10-10,9.21,9.35,9.20,9.28,264500,9.28
2013-10-09,9.14,9.18,9.03,9.15,241200,9.15
2013-10-08,9.20,9.27,9.18,9.22,280500,9.22
2013-10-07,9.11,9.14,9.07,9.13,162100,9.13
2013-10-04,9.07,9.21,9.04,9.20,317800,9.20
2013-10-03,9.04,9.08,8.90,9.03,530800,9.03
2013-10-02,8.85,8.95,8.85,8.89,338900,8.89
2013-10-01,8.75,8.81,8.72,8.75,153300,8.75
2013-09-30,8.82,8.89,8.79,8.85,533000,8.85
2013-09-27,8.96,8.98,8.68,8.76,381800,8.76
2013-09-26,8.73,8.98,8.72,8.97,845000,8.97
2013-09-25,8.41,8.50,8.40,8.45,158500,8.45
2013-09-24,8.32,8.35,8.24,8.30,184600,8.30
2013-09-23,8.41,8.41,8.28,8.29,152000,8.29
2013-09-20,8.42,8.46,8.39,8.41,207400,8.41
2013-09-19,8.51,8.52,8.40,8.45,219200,8.45
2013-09-18,8.45,8.57,8.34,8.52,271600,8.52
2013-09-17,8.39,8.42,8.31,8.36,187300,8.36
2013-09-16,8.46,8.49,8.40,8.41,235100,8.41
2013-09-13,8.40,8.44,8.35,8.41,307000,8.41
2013-09-12,8.47,8.55,8.40,8.41,301200,8.41
2013-09-11,8.54,8.58,8.40,8.54,512100,8.54
2013-09-10,8.49,8.53,8.45,8.48,605200,8.48
2013-09-09,8.15,8.34,8.11,8.32,572200,8.32
2013-09-06,8.05,8.10,7.97,8.09,406800,8.09
2013-09-05,8.02,8.04,7.89,7.99,553700,7.99
2013-09-04,8.02,8.02,7.77,7.84,796400,7.84
2013-09-03,7.75,7.84,7.70,7.82,581500,7.82
2013-08-30,7.32,7.34,7.25,7.31,352100,7.31
2013-08-29,7.40,7.41,7.29,7.29,404600,7.29
2013-08-28,7.48,7.56,7.41,7.41,208800,7.41
2013-08-27,7.62,7.64,7.51,7.52,355500,7.52
2013-08-26,7.77,7.83,7.65,7.67,524000,7.67
2013-08-23,7.44,7.50,7.37,7.48,427300,7.48
2013-08-22,7.26,7.30,7.24,7.27,243300,7.27
2013-08-21,7.21,7.26,7.20,7.25,292500,7.25
2013-08-20,7.20,7.32,7.18,7.26,592200,7.26
2013-08-19,7.19,7.24,7.18,7.18,429500,7.18
2013-08-16,7.23,7.24,7.17,7.17,261700,7.17
2013-08-15,7.28,7.28,7.15,7.21,550500,7.21
2013-08-14,7.33,7.38,7.29,7.31,372000,7.31
2013-08-13,7.38,7.38,7.32,7.35,320000,7.35
2013-08-12,7.41,7.51,7.40,7.42,406900,7.42
2013-08-09,7.37,7.46,7.37,7.39,966300,7.39
2013-08-08,7.25,7.33,7.25,7.33,494100,7.33
2013-08-07,7.21,7.25,7.17,7.24,311500,7.24
2013-08-06,7.28,7.30,7.19,7.23,531400,7.23
2013-08-05,7.10,7.17,7.07,7.17,308200,7.17
