Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,37.55,37.93,37.55,37.70,6891500,37.70
2013-11-13,37.14,37.59,37.11,37.58,5805000,37.58
2013-11-12,37.44,37.48,37.06,37.31,7475700,37.31
2013-11-11,37.50,37.60,37.33,37.45,4232400,37.45
2013-11-08,37.40,37.55,37.02,37.55,13586400,37.55
2013-11-07,37.83,37.87,37.25,37.50,6410000,37.50
2013-11-06,37.68,37.89,37.55,37.82,4522900,37.82
2013-11-05,37.42,37.62,37.26,37.54,4860800,37.54
2013-11-04,37.53,37.69,37.27,37.43,5141800,37.43
2013-11-01,37.25,37.69,37.15,37.33,6620300,37.33
2013-10-31,37.04,37.55,36.90,37.23,10181100,37.23
2013-10-30,37.50,37.50,37.04,37.06,5618900,37.06
2013-10-29,36.89,37.46,36.85,37.43,9242300,37.43
2013-10-28,36.27,36.94,36.27,36.81,8026200,36.81
2013-10-25,36.10,36.35,35.90,36.25,12824300,36.25
2013-10-24,36.67,36.75,35.89,35.96,12102100,35.96
2013-10-23,36.29,36.54,36.09,36.38,6803100,36.38
2013-10-22,36.10,36.48,35.97,36.41,7994600,36.41
2013-10-21,35.95,36.02,35.77,36.02,5390300,36.02
2013-10-18,35.89,35.99,35.62,35.86,7009900,35.86
2013-10-17,35.73,35.95,35.58,35.62,8068000,35.62
2013-10-16,35.40,35.70,35.34,35.69,6209600,35.69
2013-10-15,35.63,35.66,35.26,35.33,6978200,35.33
2013-10-14,35.41,35.81,35.33,35.74,4290700,35.74
2013-10-11,35.53,35.65,35.35,35.54,6202400,35.54
2013-10-10,35.06,35.48,34.94,35.48,8819200,35.48
2013-10-09,34.77,34.90,34.41,34.45,7195800,34.45
2013-10-08,34.79,34.92,34.62,34.68,7015900,34.68
2013-10-07,34.47,34.99,34.43,34.75,6399200,34.75
2013-10-04,34.70,34.86,34.52,34.65,4019300,34.65
2013-10-03,34.64,34.88,34.50,34.70,5798500,34.70
2013-10-02,34.59,34.76,34.40,34.75,5794600,34.75
2013-10-01,34.27,34.76,34.23,34.71,6986900,34.71
2013-09-30,34.50,34.54,34.27,34.35,7525300,34.35
2013-09-27,34.82,34.90,34.53,34.71,7879800,34.71
2013-09-26,34.80,35.00,34.76,35.00,5099100,35.00
2013-09-25,35.10,35.17,34.71,34.79,10012400,34.79
2013-09-24,35.23,35.25,34.98,35.08,6366700,35.08
2013-09-23,35.39,35.44,35.20,35.25,6586400,35.25
2013-09-20,35.85,35.91,35.50,35.55,7789400,35.55
2013-09-19,35.82,36.00,35.71,35.80,5296700,35.80
2013-09-18,35.37,35.86,35.18,35.79,6623300,35.79
