Date,Open,High,Low,Close,Volume,Adj Close
2013-11-14,182.70,184.50,182.70,183.95,84300,183.95
2013-11-13,182.05,182.85,180.05,182.25,101800,182.25
2013-11-12,183.50,183.65,181.80,182.05,43100,182.05
2013-11-11,184.05,184.35,183.00,183.05,48100,183.05
2013-11-08,183.95,184.05,181.00,184.00,71800,184.00
2013-11-07,182.30,186.50,182.15,184.45,107100,184.45
2013-11-06,181.75,183.40,181.45,182.90,69000,182.90
2013-11-05,183.65,183.65,180.30,181.90,105000,181.90
2013-11-04,182.20,183.90,182.00,183.40,97800,183.40
2013-11-01,181.40,184.10,180.75,181.10,99300,181.10
2013-10-31,177.30,181.40,176.95,180.50,185900,180.50
2013-10-30,172.85,178.15,172.85,177.15,211400,177.15
2013-10-29,168.60,169.55,166.75,167.80,83500,167.80
2013-10-28,172.10,172.10,167.10,168.70,81200,168.70
2013-10-25,171.75,171.75,170.10,170.40,47000,170.40
2013-10-24,171.20,172.30,170.75,172.15,49500,172.15
2013-10-23,172.95,172.95,170.20,170.90,60300,170.90
2013-10-22,171.70,173.55,171.20,172.75,77400,172.75
2013-10-21,171.85,172.10,170.25,171.70,42800,171.70
2013-10-18,173.00,173.35,169.75,171.20,71500,171.20
2013-10-17,172.10,172.80,170.30,172.80,88000,172.80
2013-10-16,169.25,172.00,169.00,171.60,85900,171.60
2013-10-15,169.50,170.95,169.05,169.10,94700,169.10
2013-10-14,168.05,168.95,167.35,168.95,42300,168.95
2013-10-11,169.00,169.00,167.50,168.35,45200,168.35
2013-10-10,164.30,168.35,164.10,167.65,78200,167.65
2013-10-09,162.50,164.85,162.50,163.45,57700,163.45
2013-10-08,165.85,165.85,162.55,162.95,67500,162.95
2013-10-07,164.00,165.10,162.20,165.10,55200,165.10
2013-10-04,163.45,164.95,162.50,163.90,61300,163.90
2013-10-03,168.60,168.60,163.10,163.10,68000,163.10
2013-10-02,169.15,169.20,165.40,166.95,63900,166.95
2013-10-01,168.35,169.40,167.80,169.40,48100,169.40
2013-09-30,168.15,169.25,167.15,167.65,58800,167.65
2013-09-27,171.45,171.45,168.50,169.80,41400,169.80
2013-09-26,171.90,172.10,169.15,170.55,65900,170.55
2013-09-25,170.80,171.70,169.95,171.60,69600,171.60
2013-09-24,168.35,171.10,167.90,169.95,71800,169.95
2013-09-23,169.10,171.10,166.70,167.25,62200,167.25
2013-09-20,171.40,171.95,167.05,168.20,120800,168.20
2013-09-19,177.05,178.15,170.20,171.35,315300,171.35
2013-09-18,174.30,175.90,173.45,173.95,59600,173.95
2013-09-17,176.60,176.60,173.25,173.40,79800,173.40
2013-09-16,178.00,179.15,176.55,176.80,71900,176.80
2013-09-13,174.50,177.05,173.85,176.05,75200,176.05
2013-09-12,174.90,175.10,173.65,174.10,54000,174.10
2013-09-11,174.05,175.20,172.55,174.50,58700,174.50
2013-09-10,168.90,174.25,168.75,173.95,214700,173.95
2013-09-09,167.30,167.70,165.90,166.00,72500,166.00
2013-09-06,167.15,168.65,165.50,167.00,145000,167.00
2013-09-05,166.40,168.65,166.20,167.15,82500,167.15
2013-09-04,166.50,167.35,163.80,165.00,91200,165.00
2013-09-03,173.25,173.25,167.15,167.15,69300,167.15
2013-09-02,171.15,173.00,170.90,172.30,35500,172.30
2013-08-30,171.25,171.25,167.85,168.20,53900,168.20
2013-08-29,168.75,171.00,168.75,170.70,49300,170.70
2013-08-28,171.00,171.00,166.20,167.60,89100,167.60
2013-08-27,177.85,177.85,171.70,172.40,108600,172.40
2013-08-26,177.95,178.45,177.20,178.30,43700,178.30
2013-08-23,178.80,178.95,176.45,177.05,90400,177.05
2013-08-22,175.55,179.20,175.55,178.45,54200,178.45
2013-08-21,175.15,176.15,174.20,175.50,43100,175.50
2013-08-20,176.60,176.60,173.25,175.15,66300,175.15
2013-08-19,177.85,178.25,176.85,177.75,57600,177.75
2013-08-16,179.90,179.90,175.65,177.95,86800,177.95
2013-08-15,181.35,181.35,178.65,180.25,122100,180.25
2013-08-14,179.90,181.55,178.55,181.55,75200,181.55
2013-08-13,179.55,179.85,177.20,179.85,87900,179.85
2013-08-12,175.30,178.90,174.50,178.90,108700,178.90
2013-08-09,174.75,175.90,173.50,175.55,80300,175.55
2013-08-08,173.80,174.95,172.60,173.25,86400,173.25
2013-08-07,174.75,174.90,172.50,172.85,48800,172.85
2013-08-06,175.85,177.30,174.05,175.20,74800,175.20
2013-08-05,174.45,176.40,174.35,176.40,55100,176.40
2013-08-02,175.90,176.00,172.50,174.40,57900,174.40
2013-08-01,171.70,175.85,171.60,175.85,91200,175.85
2013-07-31,170.00,172.15,168.80,171.15,157300,171.15
2013-07-30,168.00,169.35,167.05,169.00,80900,169.00
2013-07-29,166.90,167.55,165.85,167.05,40300,167.05
2013-07-26,167.00,167.25,164.05,165.30,56400,165.30
2013-07-25,165.30,166.90,163.15,166.90,54300,166.90
2013-07-24,163.75,165.80,162.95,165.70,53500,165.70
2013-07-23,163.15,164.05,162.80,163.50,42000,163.50
2013-07-22,165.00,165.60,162.00,162.45,44000,162.45
2013-07-19,164.45,165.05,163.85,164.20,37900,164.20
2013-07-18,163.50,165.25,162.35,165.25,57400,165.25
2013-07-17,160.10,163.25,159.90,163.25,55700,163.25
2013-07-16,160.85,161.65,160.00,160.70,48900,160.70
2013-07-15,161.20,162.20,160.95,161.35,73800,161.35
2013-07-12,159.00,161.15,159.00,160.80,107700,160.80
2013-07-11,157.80,159.20,157.80,158.50,60200,158.50
2013-07-10,156.05,156.50,154.85,156.25,44000,156.25
2013-07-09,155.00,156.65,154.45,156.55,68400,156.55
2013-07-08,152.50,155.20,152.05,153.75,47700,153.75
2013-07-05,154.70,156.60,151.20,151.20,54200,151.20
2013-07-04,149.30,154.35,149.30,154.35,43100,154.35
2013-07-03,149.50,149.50,145.85,148.45,48600,148.45
2013-07-02,152.65,152.85,150.60,150.70,69900,150.70
2013-07-01,150.80,152.75,149.95,151.60,72300,151.60
2013-06-28,150.65,152.50,148.80,149.75,76100,149.75
2013-06-27,149.40,151.70,149.00,150.10,66200,150.10
2013-06-26,148.30,149.95,147.20,148.60,76200,148.60
2013-06-25,143.35,148.15,142.90,147.95,87100,147.95
2013-06-24,143.15,145.85,142.05,142.15,87600,142.15
2013-06-21,148.95,149.00,145.10,145.10,84900,145.10
2013-06-20,151.75,151.75,146.40,147.60,163300,147.60
2013-06-19,156.05,156.50,153.60,153.60,88400,153.60
2013-06-18,156.75,157.55,154.20,156.05,72700,156.05
2013-06-17,155.40,158.50,155.40,156.75,68000,156.75
2013-06-14,155.15,155.90,154.15,155.05,43100,155.05
2013-06-13,152.05,153.75,151.65,153.25,66300,153.25
2013-06-12,156.00,157.75,154.50,154.60,137700,154.60
2013-06-11,163.55,163.75,158.50,159.50,87900,159.50
2013-06-10,163.40,165.55,162.35,164.00,94800,164.00
2013-06-07,158.90,163.05,156.80,162.15,70500,162.15
2013-06-06,160.45,161.80,158.50,158.50,55100,158.50
2013-06-05,160.80,162.10,160.00,160.90,68400,160.90
2013-06-04,164.30,165.15,160.40,161.45,83000,161.45
2013-06-03,164.40,165.95,162.10,162.70,80900,162.70
2013-05-31,163.80,166.00,163.30,165.05,97000,165.05
2013-05-30,162.00,164.90,161.85,164.40,49700,164.40
2013-05-29,162.70,163.85,161.50,162.20,86400,162.20
2013-05-28,163.85,165.00,162.35,163.10,118300,163.10
2013-05-27,163.95,165.00,162.25,163.45,81700,163.45
2013-05-24,163.90,165.55,162.65,164.00,125200,164.00
2013-05-23,162.00,164.20,160.65,163.75,146900,163.75
2013-05-22,166.10,169.35,165.45,168.50,115700,168.50
2013-05-21,166.80,167.20,164.25,165.70,140500,165.70
2013-05-20,161.00,168.45,160.80,168.05,202000,168.05
2013-05-17,155.50,160.50,155.15,160.45,124600,160.45
2013-05-16,154.55,155.45,153.55,155.45,81100,155.45
2013-05-15,153.25,155.05,152.90,154.90,72000,154.90
2013-05-14,150.75,153.15,149.10,152.95,112200,152.95
2013-05-13,150.75,150.75,148.00,150.35,86300,150.35
2013-05-10,152.35,153.55,150.05,150.40,67200,150.40
2013-05-09,151.25,152.20,150.00,151.65,65000,151.65
2013-05-08,149.95,152.15,149.95,150.70,142300,150.70
2013-05-07,151.90,151.90,149.40,149.40,134300,149.40
2013-05-06,151.60,152.10,150.25,150.55,67800,150.55
2013-05-03,148.90,151.75,146.40,151.25,115900,151.25
2013-05-02,147.50,147.50,144.50,146.15,123500,146.15
2013-05-01,147.60,147.60,147.60,147.60,000,147.60
2013-04-30,147.05,148.80,146.75,147.60,104900,147.60
2013-04-29,142.20,147.25,142.20,145.90,124500,145.90
2013-04-26,144.00,145.05,141.25,142.20,125400,142.20
2013-04-25,145.60,147.00,143.00,147.00,137800,144.42
2013-04-24,141.75,145.75,140.20,145.20,149400,142.65
